n         ,kappa    ,lambda,flux, energy, radius, A0max
2.000000 100.000000 0.010000 2.001092 262.143464 5.603613 2.927317
3.000000 100.000000 0.010000 3.000017 479.339138 5.998882 3.391693
1.000000 10.000000 0.008000 1.004081 60.284052 2.407726 7.984674
1.000000 10.000000 0.008000 0.998002 61.499141 2.407726 8.076554
1.000000 10.000000 0.008000 0.998002 61.499141 2.407726 8.076554
1.000000 10.000000 0.008000 1.004081 60.284052 2.407726 7.984674
1.000000 10.000000 0.008000 0.998002 61.499141 2.407726 8.076554
1.000000 10.000000 0.008000 1.004081 60.284052 2.407726 7.984674
2.000000 10.000000 0.008000 1.991003 143.970103 2.514723 10.180715
2.000000 10.000000 0.008000 1.991003 143.970103 2.514723 10.180715
1.000000 1.000000 0.080000 0.994777 5.964123 1.990317 7.991653
1.000000 1.000000 0.050000 0.943652 8.361685 2.098957 10.224173
1.000000 1.000000 0.030000 0.996294 11.612286 2.185788 13.207728
1.000000 1.000000 0.030000 0.991875 11.617172 2.185788 13.207728
2.000000 1.000000 0.030000 1.997212 26.625540 2.294429 16.986517
3.000000 1.000000 0.030000 2.989182 44.091882 2.363243 19.625996
1.000000 1.000000 5.000000 -0.039848 0.144491 8.277869 1.412122
1.000000 1.000000 5.000000 1.104042 0.268399 8.328326 1.410484
1.000000 1.000000 5.000000 0.998620 0.267930 8.327454 1.410248
1.000000 1.000000 5.000000 1.067360 0.267995 8.327454 1.410248
1.000000 1.000000 5.000000 1.035733 0.267850 8.325818 1.410179
1.000000 1.000000 5.000000 1.021169 0.267772 8.324383 1.410133
1.000000 1.000000 5.000000 1.004878 0.267768 8.324383 1.410133
2.000000 1.000000 5.000000 2.056326 0.793931 10.341834 1.632236
2.000000 1.000000 5.000000 2.001096 0.793796 10.342573 1.632235
3.000000 1.000000 5.000000 3.025190 1.521284 11.630248 1.816971
4.000000 1.000000 5.000000 4.004867 2.421631 12.609914 1.979442
1.000000 100.000000 0.010000 -0.720989 104.330710 5.013441 2.349922
1.000000 100.000000 0.010000 -0.720989 104.330710 5.013441 2.349922
1.000000 100.000000 0.010000 -2.775951 119.085764 4.998852 2.348748
1.000000 100.000000 0.010000 0.995221 96.315288 4.998852 2.348748
2.000000 100.000000 0.010000 2.001224 262.143464 5.603613 2.927317
3.000000 100.000000 0.010000 3.004692 479.339179 5.998882 3.391693
4.000000 100.000000 0.010000 4.002458 739.313175 6.317355 3.792649
-1.000000 1.000000 5.000000 -0.763360 0.143620 7.106762 0.828469
-1.000000 1.000000 5.000000 -0.825830 0.146355 7.106762 0.828469
-1.000000 1.000000 5.000000 -0.980587 0.145848 7.109043 0.828458
-2.000000 1.000000 5.000000 -1.974665 0.328908 9.089131 0.808406
-3.000000 1.000000 5.000000 -2.968059 0.525891 10.434940 0.798370
-4.000000 1.000000 5.000000 -3.959765 0.730734 11.499300 0.792122
-5.000000 1.000000 5.000000 -4.947734 0.940933 12.401024 0.787772
-6.000000 1.000000 5.000000 -5.940158 1.154799 13.194324 0.784527
-7.000000 1.000000 5.000000 -6.928558 1.371556 13.909920 0.781989
-8.000000 1.000000 5.000000 -7.895307 1.590532 14.567691 0.779936
-9.000000 1.000000 5.000000 -8.908037 1.811326 15.175252 0.778232
-10.000000 1.000000 5.000000 -9.898802 2.033808 15.745712 0.776789
-11.000000 1.000000 5.000000 -10.892075 2.257751 16.283678 0.775547
-12.000000 1.000000 5.000000 -11.878362 2.482691 16.793662 0.774463
-13.000000 1.000000 5.000000 -12.864980 2.708770 17.281081 0.773508
-14.000000 1.000000 5.000000 -13.271878 2.927107 17.746837 0.772657
-15.000000 1.000000 5.000000 -14.814059 3.160674 18.193709 0.771894
-16.000000 1.000000 5.000000 -15.849395 3.380762 18.625271 0.771160
-17.000000 1.000000 5.000000 -16.844676 3.614283 19.042420 0.770528
-18.000000 1.000000 5.000000 -17.833839 3.844176 19.444896 0.769950
-19.000000 1.000000 5.000000 -18.860399 4.074597 19.835292 0.769417
-20.000000 1.000000 5.000000 -19.856069 4.305426 20.214479 0.768926
-1.000000 1.000000 5.000000 -0.950371 0.145734 7.109833 0.828477
-1.000000 1.000000 5.000000 -0.950371 0.145734 7.109833 0.828477
-1.000000 1.000000 5.000000 -0.970563 0.156249 7.109833 0.828477
-1.000000 1.000000 5.000000 -5.444335 1.246242 7.109833 0.828477
-1.000000 1.000000 5.000000 -0.999318 0.145790 7.109833 0.828476
-1.000000 1.000000 20.000000 -0.720013 0.064997 10.922765 0.906609
-2.000000 1.000000 20.000000 -1.517993 0.173506 16.194667 0.877617
-1.000000 1.000000 1.000000 -0.989128 0.374875 3.431835 0.664724
-2.000000 1.000000 1.000000 -1.988945 0.700440 4.140237 0.688873
-2.000000 1.000000 1.000000 -1.988945 0.700440 4.140237 0.688873
-1.000000 100.000000 0.010000 -0.999247 38.146680 5.094732 0.664169
-1.000000 100.000000 0.010000 -0.999755 38.192681 5.094732 0.663971
-2.000000 100.000000 0.010000 -1.998889 70.323212 5.846670 0.688873
-3.000000 100.000000 0.010000 -2.998940 100.790504 6.377092 0.700325
-4.000000 100.000000 0.010000 -3.997904 130.398860 6.806578 0.707130
-5.000000 100.000000 0.010000 -4.997138 159.432723 7.178482 0.711753
-6.000000 100.000000 0.010000 -5.996161 188.074277 7.511774 0.715151
-7.000000 100.000000 0.010000 -6.316759 205.787003 7.809840 0.717782
-7.000000 100.000000 0.010000 -7.000475 216.507623 7.809840 0.717782
-8.000000 100.000000 0.010000 -8.025802 244.612483 8.092551 0.719897
-9.000000 100.000000 0.010000 -8.999389 272.528800 8.347252 0.721645
-10.000000 100.000000 0.010000 -10.063549 299.981613 8.589660 0.723121
-10.000000 100.000000 0.010000 -10.000810 300.303926 8.589660 0.723121
