x,B,f,A0,Atheta,A0`, energy
0.010000,-1.000000,0.000000,3.477923,-0.000050,0.000000,0.500000
0.013614,-1.000000,0.000000,3.477923,-0.000093,0.000000,0.500000
0.017227,-0.999950,0.000000,3.477923,-0.000148,0.000000,0.500000
0.019937,-0.999895,0.000000,3.477923,-0.000199,0.000000,0.500000
0.022647,-0.999950,0.000000,3.477923,-0.000256,0.000000,0.500000
0.025357,-0.999985,0.000000,3.477923,-0.000321,0.000000,0.500000
0.028068,-0.999994,0.000000,3.477923,-0.000394,0.000000,0.500000
0.031681,-1.000000,0.000000,3.477923,-0.000502,0.000000,0.500000
0.035295,-0.999903,0.000000,3.477923,-0.000623,0.000000,0.500000
0.042522,-0.999874,0.000000,3.477923,-0.000904,0.000000,0.500000
0.049749,-0.999947,0.000000,3.477923,-0.001237,0.000000,0.500000
0.057879,-0.999985,0.000000,3.477923,-0.001675,0.000000,0.500000
0.066010,-0.999993,0.000000,3.477923,-0.002179,0.000000,0.500000
0.074140,-0.999998,0.000000,3.477923,-0.002748,-0.000000,0.500000
0.082270,-0.999999,0.000000,3.477923,-0.003384,-0.000000,0.500000
0.090401,-1.000000,0.000000,3.477923,-0.004086,-0.000000,0.500000
0.098531,-1.000000,0.000000,3.477923,-0.004854,-0.000000,0.500000
0.106662,-1.000000,0.000000,3.477923,-0.005688,-0.000000,0.500000
0.114792,-1.000000,0.000000,3.477923,-0.006589,-0.000000,0.500000
0.122923,-1.000000,0.000000,3.477923,-0.007555,-0.000000,0.500000
0.131053,-1.000000,0.000001,3.477923,-0.008587,-0.000000,0.500000
0.139183,-1.000000,0.000001,3.477923,-0.009686,-0.000000,0.500000
0.147314,-1.000000,0.000001,3.477923,-0.010851,-0.000000,0.500000
0.155444,-1.000000,0.000002,3.477923,-0.012081,-0.000000,0.500000
0.163575,-1.000000,0.000003,3.477923,-0.013378,-0.000000,0.500000
0.171705,-1.000000,0.000003,3.477923,-0.014741,-0.000000,0.500000
0.179836,-1.000000,0.000004,3.477923,-0.016170,-0.000000,0.500000
0.187966,-1.000000,0.000006,3.477923,-0.017665,-0.000000,0.500000
0.196096,-1.000000,0.000007,3.477923,-0.019227,-0.000000,0.500000
0.204227,-1.000000,0.000010,3.477923,-0.020854,-0.000000,0.500000
0.212357,-1.000000,0.000012,3.477923,-0.022548,-0.000000,0.500000
0.220488,-1.000000,0.000015,3.477923,-0.024307,-0.000000,0.500000
0.228618,-1.000000,0.000019,3.477923,-0.026133,-0.000000,0.500000
0.236748,-1.000000,0.000023,3.477923,-0.028025,-0.000000,0.500001
0.244879,-1.000000,0.000028,3.477923,-0.029983,-0.000000,0.500001
0.253009,-1.000000,0.000034,3.477923,-0.032007,-0.000000,0.500001
0.261140,-1.000000,0.000041,3.477923,-0.034097,-0.000000,0.500002
0.269270,-1.000000,0.000049,3.477923,-0.036253,-0.000000,0.500002
0.277401,-1.000000,0.000059,3.477923,-0.038475,-0.000000,0.500003
0.285531,-1.000000,0.000070,3.477923,-0.040764,-0.000000,0.500004
0.293661,-1.000000,0.000083,3.477923,-0.043118,-0.000000,0.500006
0.301792,-1.000000,0.000097,3.477923,-0.045539,-0.000000,0.500007
0.309922,-1.000000,0.000113,3.477923,-0.048026,-0.000000,0.500010
