x,B,f,A0,Atheta,A0`, energy, f`
0.012498,-1.000000,0.000000,-0.271893,-0.000078,0.000000,0.500000,0.000000
0.012521,-1.000000,0.000000,-0.271893,-0.000078,0.000000,0.500000,0.000000
0.012543,-1.000000,0.000000,-0.271893,-0.000079,0.000000,0.500000,0.000000
0.012565,-1.000000,0.000000,-0.271893,-0.000079,0.000000,0.500000,0.000000
0.012587,-1.000000,0.000000,-0.271893,-0.000079,0.000000,0.500000,0.000000
0.012610,-1.000000,0.000000,-0.271893,-0.000080,0.000000,0.500000,0.000000
0.012632,-1.000000,0.000000,-0.271893,-0.000080,0.000000,0.500000,0.000000
0.012654,-1.000000,0.000000,-0.271893,-0.000080,0.000000,0.500000,0.000000
0.012677,-1.000000,0.000000,-0.271893,-0.000080,0.000000,0.500000,0.000000
0.012699,-1.000000,0.000000,-0.271893,-0.000081,0.000000,0.500000,0.000000
0.012721,-1.000000,0.000000,-0.271893,-0.000081,0.000000,0.500000,0.000000
0.012744,-1.000000,0.000000,-0.271893,-0.000081,0.000000,0.500000,0.000000
0.012766,-1.000000,0.000000,-0.271893,-0.000081,0.000000,0.500000,0.000000
0.012788,-1.000000,0.000000,-0.271893,-0.000082,0.000000,0.500000,0.000000
0.012811,-1.000000,0.000000,-0.271893,-0.000082,0.000000,0.500000,0.000000
0.012833,-1.000000,0.000000,-0.271893,-0.000082,0.000000,0.500000,0.000000
0.012855,-1.000000,0.000000,-0.271893,-0.000083,0.000000,0.500000,0.000000
0.012877,-1.000000,0.000000,-0.271893,-0.000083,0.000000,0.500000,0.000000
0.012900,-1.000000,0.000000,-0.271893,-0.000083,0.000000,0.500000,0.000000
0.012922,-1.000000,0.000000,-0.271893,-0.000083,0.000000,0.500000,0.000000
0.012944,-1.000000,0.000000,-0.271893,-0.000084,0.000000,0.500000,0.000000
0.012967,-1.000000,0.000000,-0.271893,-0.000084,0.000000,0.500000,0.000000
0.012989,-1.000000,0.000000,-0.271893,-0.000084,0.000000,0.500000,0.000000
0.013011,-1.000000,0.000000,-0.271893,-0.000085,0.000000,0.500000,0.000000
0.013034,-1.000000,0.000000,-0.271893,-0.000085,0.000000,0.500000,0.000000
0.013056,-1.000000,0.000000,-0.271893,-0.000085,0.000000,0.500000,0.000000
0.013078,-1.000000,0.000000,-0.271893,-0.000086,0.000000,0.500000,0.000000
0.013100,-1.000000,0.000000,-0.271893,-0.000086,0.000000,0.500000,0.000000
0.013123,-1.000000,0.000000,-0.271893,-0.000086,0.000000,0.500000,0.000000
0.013145,-1.000000,0.000000,-0.271893,-0.000086,0.000000,0.500000,0.000000
0.013167,-1.000000,0.000000,-0.271893,-0.000087,0.000000,0.500000,0.000000
0.013190,-1.000000,0.000000,-0.271893,-0.000087,0.000000,0.500000,0.000000
0.013212,-1.000000,0.000000,-0.271893,-0.000087,0.000000,0.500000,0.000000
0.013234,-1.000000,0.000000,-0.271893,-0.000088,0.000000,0.500000,0.000000
0.013257,-1.000000,0.000000,-0.271893,-0.000088,0.000000,0.500000,0.000000
0.013279,-1.000000,0.000000,-0.271893,-0.000088,0.000000,0.500000,0.000000
0.013301,-1.000000,0.000000,-0.271893,-0.000088,0.000000,0.500000,0.000000
0.013324,-1.000000,0.000000,-0.271893,-0.000089,0.000000,0.500000,0.000000
0.013346,-1.000000,0.000000,-0.271893,-0.000089,0.000000,0.500000,0.000000
0.013368,-1.000000,0.000000,-0.271893,-0.000089,0.000000,0.500000,0.000000
0.013390,-1.000000,0.000000,-0.271893,-0.000090,0.000000,0.500000,0.000000
0.013413,-1.000000,0.000000,-0.271893,-0.000090,0.000000,0.500000,0.000000
0.013435,-1.000000,0.000000,-0.271893,-0.000090,0.000000,0.500000,0.000000
0.013457,-1.000000,0.000000,-0.271893,-0.000091,0.000000,0.500000,0.000000
0.013480,-1.000000,0.000000,-0.271893,-0.000091,0.000000,0.500000,0.000000
0.013502,-1.000000,0.000000,-0.271893,-0.000091,0.000000,0.500000,0.000000
0.013524,-1.000000,0.000000,-0.271893,-0.000091,0.000000,0.500000,0.000000
0.013547,-1.000000,0.000000,-0.271893,-0.000092,0.000000,0.500000,0.000000
0.013569,-1.000000,0.000000,-0.271893,-0.000092,0.000000,0.500000,0.000000
