x,bps
3.358831,0.191054
3.366961,0.188917
3.375092,0.186803
3.383222,0.184712
3.391353,0.182645
3.399483,0.180600
3.407613,0.178578
3.415744,0.176579
3.423874,0.174601
3.432005,0.172646
3.440135,0.170712
3.448266,0.168800
3.456396,0.166908
3.464526,0.165038
3.472657,0.163189
3.480787,0.161360
3.488918,0.159551
3.497048,0.157762
3.505179,0.155994
3.513309,0.154245
3.521439,0.152515
3.529570,0.150805
3.537700,0.149113
3.545831,0.147441
3.553961,0.145787
3.562091,0.144151
3.570222,0.142534
3.578352,0.140935
3.586483,0.139353
3.594613,0.137789
3.602744,0.136243
3.610874,0.134714
3.619004,0.133201
3.627135,0.131706
3.635265,0.130227
3.643396,0.128765
3.651526,0.127320
3.659657,0.125890
3.667787,0.124476
3.675917,0.123078
3.684048,0.121696
3.692178,0.120329
3.700309,0.118977
3.708439,0.117641
3.716570,0.116319
3.724700,0.115012
3.732830,0.113720
3.740961,0.112442
3.749091,0.111179
3.757222,0.109929
3.765352,0.108694
3.773482,0.107472
3.781613,0.106265
3.789743,0.105070
3.797874,0.103889
3.806004,0.102721
3.814135,0.101566
3.822265,0.100424
3.830395,0.099295
3.838526,0.098179
3.846656,0.097075
3.854787,0.095983
3.862917,0.094904
3.871048,0.093836
3.879178,0.092781
3.887308,0.091738
3.895439,0.090706
3.903569,0.089685
3.911700,0.088676
3.919830,0.087679
3.927961,0.086692
3.936091,0.085717
3.944221,0.084752
3.952352,0.083799
3.960482,0.082856
3.968613,0.081923
3.976743,0.081001
3.984873,0.080090
3.993004,0.079188
4.001134,0.078297
4.009265,0.077415
4.017395,0.076544
4.025526,0.075682
4.033656,0.074830
4.041786,0.073987
4.049917,0.073154
4.058047,0.072330
4.066178,0.071516
4.074308,0.070710
4.082439,0.069914
4.090569,0.069126
4.098699,0.068348
4.106830,0.067578
4.114960,0.066816
4.123091,0.066064
4.131221,0.065319
4.139352,0.064583
4.147482,0.063855
4.155612,0.063136
4.163743,0.062424
4.171873,0.061720
4.180004,0.061025
4.188134,0.060337
4.196264,0.059657
4.204395,0.058984
4.212525,0.058319
4.220656,0.057661
4.228786,0.057011
4.236917,0.056368
4.245047,0.055732
4.253177,0.055103
4.261308,0.054482
4.269438,0.053867
4.277569,0.053259
4.285699,0.052658
4.293830,0.052064
4.301960,0.051477
4.310090,0.050896
4.318221,0.050321
4.326351,0.049753
4.334482,0.049191
4.342612,0.048636
4.350742,0.048087
4.358873,0.047544
4.367003,0.047007
4.375134,0.046476
4.383264,0.045951
4.391395,0.045431
4.399525,0.044918
4.407655,0.044411
4.415786,0.043909
4.423916,0.043412
4.432047,0.042922
4.440177,0.042436
4.448308,0.041957
4.456438,0.041482
4.464568,0.041013
4.472699,0.040549
4.480829,0.040091
4.488960,0.039637
4.497090,0.039189
4.505221,0.038745
4.513351,0.038307
4.521481,0.037873
4.529612,0.037444
4.537742,0.037020
4.545873,0.036601
4.554003,0.036187
4.562133,0.035777
4.570264,0.035372
4.578394,0.034971
4.586525,0.034575
4.594655,0.034183
4.602786,0.033795
4.610916,0.033412
4.619046,0.033034
4.627177,0.032659
4.635307,0.032289
4.643438,0.031922
4.651568,0.031560
4.659699,0.031202
4.667829,0.030848
4.675959,0.030498
4.684090,0.030152
4.692220,0.029810
4.700351,0.029471
4.708481,0.029136
4.716612,0.028806
4.724742,0.028478
4.732872,0.028155
4.741003,0.027835
4.749133,0.027518
4.757264,0.027206
4.765394,0.026896
4.773524,0.026590
4.781655,0.026288
4.789785,0.025989
