x,B,f,A0,Atheta,A0`, energy
0.010000,-0.254492,0.000000,-0.203452,-0.000012,0.000000,0.500049
0.011355,-0.254029,0.000009,-0.203452,-0.000016,0.000000,0.500043
0.012710,-0.252044,0.000017,-0.203452,-0.000020,0.000000,0.500045
0.014065,-0.250702,0.000026,-0.203452,-0.000025,0.000000,0.500051
0.015420,-0.250239,0.000034,-0.203452,-0.000030,0.000000,0.500060
0.020841,-0.249974,0.000072,-0.203452,-0.000054,0.000000,0.500106
0.026261,-0.249989,0.000118,-0.203452,-0.000086,0.000000,0.500168
0.031681,-0.250014,0.000173,-0.203452,-0.000126,0.000001,0.500245
0.042522,-0.249994,0.000315,-0.203452,-0.000226,0.000001,0.500440
0.053362,-0.250002,0.000496,-0.203452,-0.000356,0.000003,0.500693
0.069623,-0.249998,0.000845,-0.203452,-0.000606,0.000005,0.501178
0.085884,-0.250016,0.001286,-0.203452,-0.000922,0.000012,0.501791
0.110275,-0.250022,0.002119,-0.203452,-0.001520,0.000021,0.502945
0.134666,-0.250006,0.003159,-0.203451,-0.002267,0.000038,0.504380
0.159058,-0.249997,0.004404,-0.203450,-0.003163,0.000062,0.506089
0.183449,-0.249993,0.005853,-0.203448,-0.004207,0.000094,0.508068
0.206485,-0.249989,0.007409,-0.203446,-0.005330,0.000134,0.510179
0.229521,-0.249984,0.009146,-0.203442,-0.006585,0.000173,0.512518
0.244427,-0.249978,0.010366,-0.203439,-0.007468,0.000220,0.514149
0.259333,-0.249973,0.011660,-0.203435,-0.008407,0.000258,0.515871
0.271529,-0.249967,0.012775,-0.203432,-0.009216,0.000300,0.517346
0.283724,-0.249961,0.013939,-0.203428,-0.010062,0.000341,0.518879
0.295920,-0.249954,0.015153,-0.203424,-0.010946,0.000386,0.520469
0.308116,-0.249946,0.016416,-0.203419,-0.011866,0.000435,0.522113
0.320311,-0.249937,0.017729,-0.203413,-0.012824,0.000488,0.523812
0.332507,-0.249927,0.019090,-0.203407,-0.013819,0.000545,0.525564
0.344702,-0.249916,0.020500,-0.203400,-0.014851,0.000606,0.527366
0.356898,-0.249904,0.021958,-0.203392,-0.015920,0.000671,0.529218
0.369094,-0.249890,0.023465,-0.203383,-0.017027,0.000740,0.531117
0.381289,-0.249875,0.025019,-0.203374,-0.018170,0.000814,0.533063
0.393485,-0.249859,0.026622,-0.203363,-0.019350,0.000893,0.535054
0.405681,-0.249841,0.028271,-0.203352,-0.020568,0.000976,0.537088
0.417876,-0.249821,0.029968,-0.203340,-0.021823,0.001064,0.539163
0.430072,-0.249799,0.031712,-0.203326,-0.023114,0.001156,0.541278
0.442267,-0.249776,0.033502,-0.203311,-0.024443,0.001254,0.543430
0.454463,-0.249751,0.035339,-0.203296,-0.025809,0.001357,0.545618
0.466659,-0.249724,0.037221,-0.203278,-0.027211,0.001465,0.547840
0.478854,-0.249694,0.039149,-0.203260,-0.028651,0.001578,0.550094
0.491050,-0.249663,0.041123,-0.203240,-0.030128,0.001697,0.552379
0.503246,-0.249629,0.043141,-0.203218,-0.031641,0.001821,0.554691
0.515441,-0.249593,0.045204,-0.203195,-0.033192,0.001950,0.557030
0.527637,-0.249554,0.047311,-0.203171,-0.034779,0.002085,0.559393
0.539833,-0.249512,0.049463,-0.203145,-0.036404,0.002226,0.561779
0.552028,-0.249468,0.051658,-0.203117,-0.038065,0.002372,0.564184
0.564224,-0.249421,0.053896,-0.203087,-0.039763,0.002524,0.566608
0.576419,-0.249371,0.056177,-0.203055,-0.041497,0.002682,0.569047
0.588615,-0.249318,0.058500,-0.203021,-0.043269,0.002845,0.571500
0.600811,-0.249261,0.060865,-0.202986,-0.045077,0.003014,0.573966
0.613006,-0.249202,0.063273,-0.202948,-0.046922,0.003190,0.576440
0.625202,-0.249139,0.065721,-0.202908,-0.048803,0.003371,0.578922
0.637398,-0.249072,0.068210,-0.202866,-0.050721,0.003558,0.581409
0.649593,-0.249002,0.070740,-0.202821,-0.052675,0.003751,0.583900
0.661789,-0.248928,0.073310,-0.202774,-0.054666,0.003950,0.586391
0.673985,-0.248851,0.075919,-0.202725,-0.056693,0.004156,0.588881
0.686180,-0.248769,0.078568,-0.202673,-0.058757,0.004367,0.591368
0.698376,-0.248683,0.081256,-0.202618,-0.060857,0.004584,0.593848
0.710571,-0.248593,0.083981,-0.202561,-0.062993,0.004807,0.596321
0.722767,-0.248499,0.086745,-0.202501,-0.065165,0.005037,0.598784
0.734963,-0.248401,0.089546,-0.202438,-0.067374,0.005272,0.601235
0.747158,-0.248297,0.092384,-0.202372,-0.069618,0.005514,0.603671
0.759354,-0.248190,0.095258,-0.202304,-0.071899,0.005761,0.606091
0.771550,-0.248077,0.098168,-0.202232,-0.074215,0.006014,0.608492
0.783745,-0.247960,0.101114,-0.202157,-0.076567,0.006274,0.610872
0.795941,-0.247838,0.104095,-0.202079,-0.078955,0.006539,0.613229
0.808137,-0.247710,0.107111,-0.201997,-0.081379,0.006810,0.615561
0.820332,-0.247578,0.110160,-0.201913,-0.083838,0.007087,0.617866
0.832528,-0.247440,0.113243,-0.201825,-0.086333,0.007370,0.620141
0.844723,-0.247297,0.116360,-0.201733,-0.088863,0.007659,0.622385
0.856919,-0.247149,0.119508,-0.201638,-0.091428,0.007953,0.624595
0.869115,-0.246994,0.122689,-0.201539,-0.094028,0.008254,0.626770
0.881310,-0.246835,0.125902,-0.201436,-0.096664,0.008559,0.628907
0.893506,-0.246669,0.129145,-0.201330,-0.099334,0.008871,0.631005
0.905702,-0.246498,0.132419,-0.201220,-0.102040,0.009187,0.633062
0.917897,-0.246320,0.135723,-0.201106,-0.104780,0.009509,0.635075
0.930093,-0.246137,0.139056,-0.200988,-0.107555,0.009837,0.637043
0.942289,-0.245947,0.142418,-0.200866,-0.110364,0.010170,0.638963
0.954484,-0.245751,0.145809,-0.200740,-0.113207,0.010508,0.640835
0.966680,-0.245549,0.149228,-0.200610,-0.116085,0.010851,0.642657
