x,bps
0.010000,0.006985
0.011355,0.004771
0.012710,0.003402
0.014065,0.002511
0.015420,0.001905
0.020841,0.000771
0.026261,0.000385
0.031681,0.000219
0.042522,0.000087
0.053362,0.000041
0.069623,0.000012
0.085884,0.000000
0.110275,-0.000016
0.134666,-0.000029
0.159058,-0.000047
0.183449,-0.000071
0.206485,-0.000100
0.229521,-0.000136
0.244427,-0.000164
0.259333,-0.000195
0.271529,-0.000224
0.283724,-0.000255
0.295920,-0.000289
0.308116,-0.000326
0.320311,-0.000366
0.332507,-0.000409
0.344702,-0.000455
0.356898,-0.000505
0.369094,-0.000558
0.381289,-0.000615
0.393485,-0.000675
0.405681,-0.000739
0.417876,-0.000808
0.430072,-0.000880
0.442267,-0.000956
0.454463,-0.001037
0.466659,-0.001121
0.478854,-0.001211
0.491050,-0.001304
0.503246,-0.001403
0.515441,-0.001506
0.527637,-0.001614
0.539833,-0.001727
0.552028,-0.001845
0.564224,-0.001968
0.576419,-0.002096
0.588615,-0.002230
0.600811,-0.002369
0.613006,-0.002513
0.625202,-0.002663
0.637398,-0.002819
0.649593,-0.002980
0.661789,-0.003147
0.673985,-0.003320
0.686180,-0.003499
0.698376,-0.003684
0.710571,-0.003875
0.722767,-0.004072
0.734963,-0.004276
0.747158,-0.004486
0.759354,-0.004702
0.771550,-0.004924
0.783745,-0.005153
0.795941,-0.005388
0.808137,-0.005630
0.820332,-0.005879
0.832528,-0.006134
0.844723,-0.006396
0.856919,-0.006665
0.869115,-0.006940
0.881310,-0.007223
0.893506,-0.007512
0.905702,-0.007808
0.917897,-0.008110
0.930093,-0.008420
0.942289,-0.008737
0.954484,-0.009060
0.966680,-0.009391
0.978875,-0.009728
0.991071,-0.010072
1.003267,-0.010424
1.015462,-0.010782
1.027658,-0.011147
1.039854,-0.011519
1.052049,-0.011898
1.064245,-0.012284
1.076440,-0.012676
1.088636,-0.013076
1.100832,-0.013482
1.113027,-0.013895
1.125223,-0.014315
1.137419,-0.014741
1.149614,-0.015175
1.161810,-0.015614
1.174006,-0.016061
1.186201,-0.016513
1.198397,-0.016973
1.210592,-0.017438
1.222788,-0.017910
1.234984,-0.018388
1.247179,-0.018873
1.259375,-0.019363
1.271571,-0.019859
1.283766,-0.020362
1.295962,-0.020870
1.308158,-0.021384
1.320353,-0.021904
1.332549,-0.022429
1.344744,-0.022959
1.356940,-0.023495
1.369136,-0.024037
1.381331,-0.024583
1.393527,-0.025134
1.405723,-0.025691
1.417918,-0.026252
1.430114,-0.026818
1.442310,-0.027388
1.454505,-0.027963
1.466701,-0.028542
1.478896,-0.029125
1.491092,-0.029712
1.503288,-0.030304
1.515483,-0.030899
1.527679,-0.031497
1.539875,-0.032099
1.552070,-0.032705
1.561556,-0.033178
1.571041,-0.033653
1.580527,-0.034129
1.590012,-0.034608
1.602208,-0.035225
1.614403,-0.035845
1.626599,-0.036468
1.638795,-0.037093
1.650990,-0.037720
1.663186,-0.038348
1.675382,-0.038979
1.687577,-0.039611
1.699773,-0.040245
1.711969,-0.040880
1.724164,-0.041516
1.736360,-0.042153
1.748555,-0.042791
1.760751,-0.043430
1.772947,-0.044069
1.785142,-0.044709
1.797338,-0.045348
1.809534,-0.045988
1.821729,-0.046627
1.833925,-0.047266
1.846121,-0.047905
1.858316,-0.048543
1.870512,-0.049180
1.882707,-0.049816
1.894903,-0.050451
1.907099,-0.051085
1.919294,-0.051717
1.931490,-0.052348
1.940975,-0.052837
1.950461,-0.053326
1.958591,-0.053743
1.966722,-0.054160
1.974852,-0.054575
1.982983,-0.054990
1.991113,-0.055403
1.999243,-0.055816
2.007374,-0.056227
2.015504,-0.056637
2.023635,-0.057045
2.031765,-0.057453
2.039896,-0.057859
2.048026,-0.058264
2.056156,-0.058667
2.064287,-0.059069
2.072417,-0.059469
2.080548,-0.059868
2.088678,-0.060265
2.096809,-0.060661
2.104939,-0.061055
2.113069,-0.061447
2.121200,-0.061837
2.129330,-0.062226
2.137461,-0.062613
2.145591,-0.062998
2.153722,-0.063381
2.161852,-0.063762
2.169982,-0.064142
2.178113,-0.064519
2.186243,-0.064894
2.194374,-0.065267
2.202504,-0.065638
2.210634,-0.066007
2.218765,-0.066374
2.226895,-0.066739
2.235026,-0.067101
2.243156,-0.067461
2.251287,-0.067819
2.259417,-0.068174
2.267547,-0.068527
2.275678,-0.068878
2.283808,-0.069226
2.291939,-0.069572
2.300069,-0.069915
