x,B,f,A0,Atheta,A0`, energy, f`
9.670373,0.008155,1.000849,0.006446,-25.085446,-0.008851,0.000131,0.003190
9.676471,0.008140,1.000868,0.006392,-25.084965,-0.008796,0.000129,0.003120
9.682569,0.008124,1.000887,0.006339,-25.084485,-0.008741,0.000127,0.003051
9.688666,0.008108,1.000905,0.006285,-25.084006,-0.008686,0.000125,0.002984
9.694764,0.008091,1.000923,0.006233,-25.083527,-0.008632,0.000123,0.002917
9.700862,0.008074,1.000941,0.006180,-25.083049,-0.008577,0.000122,0.002851
9.706960,0.008057,1.000958,0.006128,-25.082572,-0.008523,0.000120,0.002786
9.713058,0.008039,1.000975,0.006076,-25.082095,-0.008469,0.000118,0.002721
9.719155,0.008020,1.000991,0.006025,-25.081619,-0.008414,0.000116,0.002658
9.725253,0.008001,1.001007,0.005974,-25.081145,-0.008361,0.000114,0.002596
9.731351,0.007982,1.001023,0.005923,-25.080671,-0.008307,0.000113,0.002534
9.737449,0.007962,1.001038,0.005872,-25.080197,-0.008253,0.000111,0.002473
9.743547,0.007942,1.001053,0.005822,-25.079725,-0.008200,0.000109,0.002413
9.749644,0.007921,1.001068,0.005772,-25.079254,-0.008146,0.000107,0.002354
9.755742,0.007900,1.001082,0.005723,-25.078783,-0.008093,0.000106,0.002296
9.761840,0.007878,1.001096,0.005674,-25.078314,-0.008040,0.000104,0.002238
9.767938,0.007856,1.001109,0.005625,-25.077845,-0.007987,0.000103,0.002182
9.774036,0.007834,1.001122,0.005576,-25.077378,-0.007934,0.000101,0.002126
9.780134,0.007812,1.001135,0.005528,-25.076912,-0.007882,0.000099,0.002071
9.786231,0.007789,1.001147,0.005480,-25.076446,-0.007830,0.000098,0.002016
9.792329,0.007765,1.001160,0.005432,-25.075982,-0.007777,0.000096,0.001963
9.798427,0.007742,1.001171,0.005385,-25.075519,-0.007725,0.000095,0.001910
9.804525,0.007718,1.001183,0.005338,-25.075057,-0.007673,0.000094,0.001858
9.810623,0.007694,1.001194,0.005292,-25.074596,-0.007622,0.000092,0.001807
9.816720,0.007669,1.001205,0.005245,-25.074136,-0.007570,0.000091,0.001756
9.822818,0.007644,1.001215,0.005199,-25.073678,-0.007519,0.000089,0.001706
9.828916,0.007619,1.001226,0.005154,-25.073221,-0.007468,0.000088,0.001657
9.835014,0.007594,1.001236,0.005108,-25.072765,-0.007417,0.000087,0.001608
9.841112,0.007568,1.001245,0.005063,-25.072310,-0.007366,0.000085,0.001561
9.847210,0.007542,1.001255,0.005018,-25.071856,-0.007315,0.000084,0.001514
9.853307,0.007516,1.001264,0.004974,-25.071404,-0.007265,0.000083,0.001467
9.859405,0.007489,1.001273,0.004930,-25.070953,-0.007215,0.000082,0.001422
9.865503,0.007462,1.001281,0.004886,-25.070504,-0.007165,0.000080,0.001377
9.871601,0.007435,1.001289,0.004842,-25.070055,-0.007115,0.000079,0.001332
9.877699,0.007408,1.001297,0.004799,-25.069608,-0.007065,0.000078,0.001288
9.883796,0.007381,1.001305,0.004756,-25.069163,-0.007016,0.000077,0.001245
9.889894,0.007353,1.001313,0.004714,-25.068719,-0.006967,0.000076,0.001203
9.895992,0.007325,1.001320,0.004671,-25.068276,-0.006918,0.000074,0.001161
9.902090,0.007297,1.001327,0.004629,-25.067835,-0.006869,0.000073,0.001120
9.908188,0.007268,1.001333,0.004587,-25.067395,-0.006820,0.000072,0.001080
9.914286,0.007240,1.001340,0.004546,-25.066957,-0.006772,0.000071,0.001040
9.920383,0.007211,1.001346,0.004505,-25.066520,-0.006723,0.000070,0.001000
9.926481,0.007182,1.001352,0.004464,-25.066084,-0.006675,0.000069,0.000962
9.932579,0.007153,1.001358,0.004423,-25.065650,-0.006628,0.000068,0.000923
9.938677,0.007124,1.001363,0.004383,-25.065218,-0.006580,0.000067,0.000886
9.944775,0.007094,1.001369,0.004343,-25.064787,-0.006533,0.000066,0.000849
9.950872,0.007065,1.001374,0.004304,-25.064357,-0.006485,0.000065,0.000812
9.956970,0.007035,1.001379,0.004264,-25.063929,-0.006438,0.000064,0.000777
9.963068,0.007005,1.001383,0.004225,-25.063503,-0.006392,0.000063,0.000741
9.969166,0.006975,1.001388,0.004186,-25.063078,-0.006345,0.000062,0.000707
9.975264,0.006945,1.001392,0.004148,-25.062655,-0.006299,0.000061,0.000672
9.981362,0.006914,1.001396,0.004109,-25.062233,-0.006252,0.000060,0.000639
9.987459,0.006884,1.001400,0.004071,-25.061813,-0.006206,0.000059,0.000606
9.993557,0.006853,1.001403,0.004034,-25.061395,-0.006161,0.000058,0.000573
9.999655,0.006823,1.001407,0.003996,-25.060978,-0.006115,0.000058,0.000541
10.005753,0.006792,1.001410,0.003959,-25.060563,-0.006070,0.000057,0.000509
10.011851,0.006761,1.001413,0.003922,-25.060149,-0.006025,0.000056,0.000478
10.017948,0.006730,1.001416,0.003886,-25.059737,-0.005980,0.000055,0.000448
