x,B,f,A0,Atheta,A0`, energy
0.010000,-1.000000,0.000000,-0.276879,-0.000050,0.000000,0.500000
0.013614,-1.000000,-0.000000,-0.276879,-0.000093,0.000000,0.500000
0.019034,-1.000000,-0.000000,-0.276879,-0.000181,0.000000,0.500000
0.024454,-1.000000,0.000000,-0.276879,-0.000299,0.000000,0.500000
0.032585,-1.000711,0.000000,-0.276879,-0.000531,0.000000,0.500000
0.040715,-1.000934,0.000000,-0.276879,-0.000829,0.000000,0.500000
0.048845,-1.000094,0.000000,-0.276879,-0.001193,0.000000,0.500000
0.056976,-1.000039,0.000000,-0.276879,-0.001624,0.000000,0.500000
0.065106,-1.000007,0.000000,-0.276879,-0.002120,0.000000,0.500000
0.073237,-1.000003,0.000000,-0.276879,-0.002682,0.000000,0.500000
0.081367,-1.000001,0.000000,-0.276879,-0.003311,0.000000,0.500000
0.089497,-1.000000,0.000000,-0.276879,-0.004005,0.000000,0.500000
0.097628,-1.000000,0.000000,-0.276879,-0.004766,0.000000,0.500000
0.105758,-1.000000,0.000000,-0.276879,-0.005593,0.000000,0.500000
0.113889,-1.000000,0.000000,-0.276879,-0.006486,0.000000,0.500000
0.122019,-1.000000,0.000000,-0.276879,-0.007445,0.000000,0.500000
0.130150,-1.000000,0.000000,-0.276879,-0.008470,0.000000,0.500000
0.138280,-1.000000,0.000000,-0.276879,-0.009561,0.000000,0.500000
0.146410,-1.000000,0.000000,-0.276879,-0.010719,0.000000,0.500000
0.154541,-1.000000,0.000000,-0.276879,-0.011942,0.000000,0.500000
0.162671,-1.000000,0.000000,-0.276879,-0.013232,0.000000,0.500000
0.170802,-1.000000,0.000000,-0.276879,-0.014587,0.000000,0.500000
0.178932,-1.000000,0.000000,-0.276879,-0.016009,0.000000,0.500000
0.187063,-1.000000,0.000000,-0.276879,-0.017497,0.000000,0.500000
0.195193,-1.000000,0.000000,-0.276879,-0.019051,0.000000,0.500000
0.203323,-1.000000,0.000000,-0.276879,-0.020671,0.000000,0.500000
0.211454,-1.000000,0.000000,-0.276879,-0.022357,0.000000,0.500000
0.219584,-1.000000,0.000000,-0.276879,-0.024109,0.000000,0.500000
0.227715,-1.000000,0.000000,-0.276879,-0.025928,0.000000,0.500000
0.235845,-1.000000,0.000000,-0.276879,-0.027812,0.000000,0.500000
0.243976,-1.000000,0.000000,-0.276879,-0.029763,0.000000,0.500000
0.252106,-1.000000,0.000000,-0.276879,-0.031779,0.000000,0.500000
0.260236,-1.000000,0.000000,-0.276879,-0.033862,0.000000,0.500000
0.268367,-1.000000,0.000000,-0.276879,-0.036011,0.000000,0.500000
0.276497,-1.000000,0.000000,-0.276879,-0.038226,0.000000,0.500000
0.284628,-1.000000,0.000000,-0.276879,-0.040507,0.000000,0.500000
0.292758,-1.000000,0.000000,-0.276879,-0.042854,0.000000,0.500000
0.300888,-1.000000,0.000000,-0.276879,-0.045267,0.000000,0.500000
0.309019,-1.000000,0.000000,-0.276879,-0.047747,0.000000,0.500000
0.317149,-1.000000,0.000000,-0.276879,-0.050292,0.000000,0.500000
0.325280,-1.000000,0.000000,-0.276879,-0.052904,0.000000,0.500000
0.333410,-1.000000,0.000000,-0.276879,-0.055582,0.000000,0.500000
0.341541,-1.000000,0.000000,-0.276879,-0.058326,0.000000,0.500000
0.349671,-1.000000,0.000000,-0.276879,-0.061135,0.000000,0.500000
0.357801,-1.000000,0.000000,-0.276879,-0.064011,0.000000,0.500000
0.365932,-1.000000,0.000000,-0.276879,-0.066954,0.000000,0.500000
0.374062,-1.000000,0.000000,-0.276879,-0.069962,0.000000,0.500000
0.382193,-1.000000,0.000000,-0.276879,-0.073036,0.000000,0.500000
0.390323,-1.000000,0.000000,-0.276879,-0.076177,0.000000,0.500000
0.398454,-1.000000,0.000000,-0.276879,-0.079383,0.000000,0.500000
0.406584,-1.000000,0.000000,-0.276879,-0.082656,0.000000,0.500000
0.414714,-1.000000,0.000000,-0.276879,-0.085995,0.000000,0.500000
0.422845,-1.000000,0.000000,-0.276879,-0.089399,0.000000,0.500000
0.430975,-1.000000,0.000000,-0.276879,-0.092870,0.000000,0.500000
0.439106,-1.000000,0.000000,-0.276879,-0.096407,0.000000,0.500000
0.447236,-1.000000,0.000000,-0.276879,-0.100011,0.000000,0.500000
0.455367,-1.000000,0.000000,-0.276879,-0.103680,0.000000,0.500000
0.463497,-1.000000,0.000000,-0.276879,-0.107415,0.000000,0.500000
0.472531,-1.000000,0.000000,-0.276879,-0.111643,0.000000,0.500000
0.481565,-1.000000,0.000000,-0.276879,-0.115953,0.000000,0.500000
0.490598,-1.000000,0.000000,-0.276879,-0.120344,0.000000,0.500000
0.499632,-1.000000,0.000000,-0.276879,-0.124817,0.000000,0.500000
0.507763,-1.000000,0.000000,-0.276879,-0.128912,0.000000,0.500000
0.515893,-1.000000,0.000000,-0.276879,-0.133073,0.000000,0.500000
0.524023,-1.000000,0.000000,-0.276879,-0.137301,0.000000,0.500000
0.532154,-1.000000,0.000000,-0.276879,-0.141594,0.000000,0.500000
0.540284,-1.000000,0.000000,-0.276879,-0.145954,0.000000,0.500000
0.548415,-1.000000,0.000000,-0.276879,-0.150380,0.000000,0.500000
0.556545,-1.000000,0.000000,-0.276879,-0.154872,0.000000,0.500000
0.564676,-1.000000,0.000000,-0.276879,-0.159430,0.000000,0.500000
0.572806,-1.000000,0.000000,-0.276879,-0.164054,0.000000,0.500000
0.580936,-1.000000,0.000000,-0.276879,-0.168744,0.000000,0.500000
0.589067,-1.000000,0.000000,-0.276879,-0.173500,0.000000,0.500000
0.597197,-1.000000,0.000000,-0.276879,-0.178323,0.000000,0.500000
0.605328,-1.000000,0.000000,-0.276879,-0.183211,0.000000,0.500000
0.613458,-1.000000,0.000000,-0.276879,-0.188166,0.000000,0.500000
0.621588,-1.000000,0.000000,-0.276879,-0.193187,0.000000,0.500000
0.629719,-1.000000,0.000000,-0.276879,-0.198274,0.000000,0.500000
0.637849,-1.000000,0.000000,-0.276879,-0.203426,0.000000,0.500000
0.645980,-1.000000,0.000000,-0.276879,-0.208645,0.000000,0.500000
0.654110,-1.000000,0.000000,-0.276879,-0.213931,0.000000,0.500000
0.662241,-1.000000,0.000000,-0.276879,-0.219282,0.000000,0.500000
0.670371,-1.000000,0.000000,-0.276879,-0.224699,0.000000,0.500000
0.678501,-1.000000,0.000000,-0.276879,-0.230183,0.000000,0.500000
0.686632,-1.000000,0.000000,-0.276879,-0.235732,0.000000,0.500000
0.694762,-1.000000,0.000001,-0.276879,-0.241348,0.000000,0.500000
0.702893,-1.000000,0.000001,-0.276879,-0.247030,0.000000,0.500000
0.711023,-1.000000,0.000001,-0.276879,-0.252778,0.000000,0.500000
0.719154,-1.000000,0.000001,-0.276879,-0.258591,0.000000,0.500000
0.727284,-1.000000,0.000001,-0.276879,-0.264472,0.000000,0.500000
0.735414,-1.000000,0.000001,-0.276879,-0.270418,0.000000,0.500000
0.743545,-1.000000,0.000001,-0.276879,-0.276430,0.000000,0.500000
0.751675,-1.000000,0.000001,-0.276879,-0.282508,0.000000,0.500000
0.759806,-1.000000,0.000001,-0.276879,-0.288653,0.000000,0.500000
0.767936,-1.000000,0.000001,-0.276879,-0.294863,0.000000,0.500000
0.776067,-1.000000,0.000002,-0.276879,-0.301140,0.000000,0.500000
0.784197,-1.000000,0.000002,-0.276879,-0.307483,0.000000,0.500000
0.792327,-1.000000,0.000002,-0.276879,-0.313892,0.000000,0.500000
0.800458,-1.000000,0.000002,-0.276879,-0.320367,0.000000,0.500000
0.808588,-1.000000,0.000002,-0.276879,-0.326908,0.000000,0.500000
0.816719,-1.000000,0.000002,-0.276879,-0.333515,0.000000,0.500000
0.824849,-1.000000,0.000003,-0.276879,-0.340189,0.000000,0.500000
0.832979,-1.000000,0.000003,-0.276879,-0.346928,0.000000,0.500000
0.841110,-1.000000,0.000003,-0.276879,-0.353733,0.000000,0.500000
0.849240,-1.000000,0.000004,-0.276879,-0.360605,0.000000,0.500000
0.857371,-1.000000,0.000004,-0.276879,-0.367543,0.000000,0.500000
0.865501,-1.000000,0.000004,-0.276879,-0.374547,0.000000,0.500000
0.873632,-1.000000,0.000005,-0.276879,-0.381617,0.000000,0.500000
0.881762,-1.000000,0.000005,-0.276879,-0.388753,0.000000,0.500000
0.889892,-1.000000,0.000006,-0.276879,-0.395955,0.000000,0.500000
0.898023,-1.000000,0.000006,-0.276879,-0.403223,0.000000,0.500000
0.906153,-1.000000,0.000007,-0.276879,-0.410557,0.000000,0.500000
0.914284,-1.000000,0.000007,-0.276879,-0.417958,0.000000,0.500000
0.922414,-1.000000,0.000008,-0.276879,-0.425424,0.000000,0.500000
0.930545,-1.000000,0.000009,-0.276879,-0.432957,0.000000,0.500000
0.938675,-1.000000,0.000010,-0.276879,-0.440556,0.000000,0.500000
0.946805,-1.000000,0.000010,-0.276879,-0.448221,0.000000,0.500000
0.954936,-1.000000,0.000011,-0.276879,-0.455952,0.000000,0.500000
0.963066,-1.000000,0.000012,-0.276879,-0.463749,0.000000,0.500000
0.971197,-1.000000,0.000013,-0.276879,-0.471612,0.000000,0.500000
0.979327,-1.000000,0.000014,-0.276879,-0.479541,0.000000,0.500000
0.987458,-1.000000,0.000015,-0.276879,-0.487537,0.000000,0.500000
0.995588,-1.000000,0.000017,-0.276879,-0.495598,0.000000,0.500000
1.003718,-1.000000,0.000018,-0.276879,-0.503726,0.000000,0.500000
1.011849,-1.000000,0.000019,-0.276879,-0.511920,0.000000,0.500000
1.019979,-1.000000,0.000021,-0.276879,-0.520179,0.000000,0.500000
1.028110,-1.000000,0.000023,-0.276879,-0.528505,0.000000,0.500000
1.036240,-1.000000,0.000024,-0.276879,-0.536897,0.000000,0.500000
1.044370,-1.000000,0.000026,-0.276879,-0.545355,0.000000,0.500000
1.052501,-1.000000,0.000028,-0.276879,-0.553880,0.000000,0.500000
1.060631,-1.000000,0.000030,-0.276879,-0.562470,0.000000,0.500000
1.068762,-1.000000,0.000033,-0.276879,-0.571126,0.000000,0.500000
1.076892,-1.000000,0.000035,-0.276879,-0.579849,0.000000,0.500000
1.085023,-1.000000,0.000038,-0.276879,-0.588638,0.000000,0.500000
1.093153,-1.000000,0.000041,-0.276879,-0.597492,0.000000,0.500000
1.101283,-1.000000,0.000043,-0.276879,-0.606413,0.000000,0.500000
1.109414,-1.000000,0.000047,-0.276879,-0.615400,0.000000,0.500000
1.117544,-1.000000,0.000050,-0.276879,-0.624453,0.000000,0.500000
1.125675,-1.000000,0.000053,-0.276879,-0.633572,0.000000,0.500000
1.133805,-1.000000,0.000057,-0.276879,-0.642758,0.000000,0.500000
1.141936,-1.000000,0.000061,-0.276879,-0.652009,0.000000,0.500000
1.150066,-1.000000,0.000065,-0.276879,-0.661326,0.000000,0.500001
1.158196,-1.000000,0.000070,-0.276879,-0.670710,0.000000,0.500001
1.166327,-1.000000,0.000074,-0.276879,-0.680160,0.000000,0.500001
1.174457,-1.000000,0.000079,-0.276879,-0.689675,0.000000,0.500001
1.182588,-1.000000,0.000085,-0.276879,-0.699257,0.000000,0.500001
