x,bps
1.980273,0.026680
1.988403,0.027194
1.996533,0.027715
2.004664,0.028241
2.012794,0.028774
2.020925,0.029313
2.029055,0.029858
2.037185,0.030409
2.045316,0.030966
2.053446,0.031529
2.061577,0.032099
2.069707,0.032674
2.077838,0.033255
2.085968,0.033842
2.094098,0.034435
2.102229,0.035034
2.110359,0.035639
2.118490,0.036249
2.126620,0.036866
2.134751,0.037487
2.142881,0.038115
2.151011,0.038748
2.159142,0.039387
2.167272,0.040031
2.175403,0.040680
2.183533,0.041335
2.191664,0.041995
2.199794,0.042661
2.207924,0.043331
2.216055,0.044007
2.224185,0.044687
2.232316,0.045372
2.240446,0.046063
2.248576,0.046757
2.256707,0.047457
2.264837,0.048161
2.272968,0.048869
2.281098,0.049582
2.287422,0.050139
2.293745,0.050699
2.299166,0.051181
2.304586,0.051664
2.310006,0.052149
2.315427,0.052636
2.320847,0.053125
2.326267,0.053615
2.331687,0.054107
2.337108,0.054600
2.342528,0.055095
2.347948,0.055592
2.353369,0.056089
2.358789,0.056589
2.364209,0.057089
2.369629,0.057591
2.375050,0.058095
2.380470,0.058599
2.385890,0.059105
2.391311,0.059612
2.396731,0.060120
2.402151,0.060629
2.407571,0.061139
2.412992,0.061650
2.418412,0.062162
2.423832,0.062675
2.429253,0.063189
2.434673,0.063704
2.440093,0.064219
2.445513,0.064735
2.450934,0.065252
2.456354,0.065770
2.461774,0.066288
2.467195,0.066806
2.472615,0.067326
2.478035,0.067845
2.483455,0.068365
2.488876,0.068885
2.494296,0.069406
2.499716,0.069927
2.505136,0.070448
2.510557,0.070969
2.515977,0.071490
2.521397,0.072011
2.526818,0.072532
2.532238,0.073054
2.537658,0.073575
2.543078,0.074096
2.548499,0.074616
2.553919,0.075136
2.559339,0.075656
2.564760,0.076176
2.570180,0.076695
2.575600,0.077214
2.581020,0.077732
2.586441,0.078249
2.591861,0.078766
2.597281,0.079282
2.602702,0.079798
2.608122,0.080312
2.613542,0.080826
2.618962,0.081338
2.624383,0.081850
2.629803,0.082361
2.635223,0.082870
2.640644,0.083378
2.646064,0.083885
2.651484,0.084391
2.656904,0.084896
2.662325,0.085399
2.667745,0.085900
2.673165,0.086400
2.678586,0.086899
2.684006,0.087396
2.689426,0.087891
2.694846,0.088384
2.700267,0.088876
2.705687,0.089366
2.711107,0.089854
2.716527,0.090340
2.721948,0.090824
2.727368,0.091305
2.732788,0.091785
2.738209,0.092263
2.743629,0.092738
2.749049,0.093211
2.754469,0.093682
2.759890,0.094150
2.765310,0.094616
2.770730,0.095079
2.776151,0.095539
2.781571,0.095998
2.786991,0.096453
2.792411,0.096906
2.797832,0.097355
2.803252,0.097802
2.808672,0.098247
2.814093,0.098688
2.819513,0.099126
2.824933,0.099561
2.830353,0.099993
2.835774,0.100422
2.841194,0.100848
2.846614,0.101270
2.852035,0.101690
2.857455,0.102106
2.862875,0.102518
2.868295,0.102927
2.873716,0.103333
2.879136,0.103735
2.884556,0.104133
2.889977,0.104528
2.895397,0.104919
2.900817,0.105307
2.906237,0.105691
2.911658,0.106070
2.917078,0.106447
2.922498,0.106819
2.927918,0.107187
2.933339,0.107552
2.938759,0.107912
2.944179,0.108268
2.949600,0.108620
2.955020,0.108969
2.960440,0.109313
2.965860,0.109652
2.971281,0.109988
2.976701,0.110319
2.982121,0.110646
2.987542,0.110969
2.992962,0.111287
2.998382,0.111601
3.003802,0.111910
3.009223,0.112215
3.014643,0.112516
3.020063,0.112812
3.025484,0.113103
3.030904,0.113390
3.036324,0.113672
3.041744,0.113950
3.047165,0.114223
3.052585,0.114491
3.058005,0.114755
3.063426,0.115014
3.068846,0.115268
3.074266,0.115517
3.079686,0.115761
3.085107,0.116001
3.090527,0.116236
3.095947,0.116466
3.101367,0.116691
3.106788,0.116911
3.112208,0.117126
3.117628,0.117337
3.123049,0.117542
3.128469,0.117742
3.133889,0.117938
3.139309,0.118128
3.144730,0.118314
3.150150,0.118494
3.155570,0.118669
3.160991,0.118840
3.166411,0.119005
3.171831,0.119165
3.177251,0.119321
3.182672,0.119471
3.188092,0.119616
3.193512,0.119756
3.198933,0.119891
3.204353,0.120021
3.209773,0.120146
3.215193,0.120265
3.220614,0.120380
3.226034,0.120489
3.231454,0.120594
3.236875,0.120693
3.242295,0.120787
3.247715,0.120876
3.253135,0.120961
3.258556,0.121040
3.263976,0.121113
3.269396,0.121182
3.274817,0.121246
3.280237,0.121305
3.285657,0.121359
3.291077,0.121407
3.296498,0.121451
3.301918,0.121489
3.307338,0.121523
3.312758,0.121552
3.318179,0.121575
3.323599,0.121594
3.329019,0.121608
3.334440,0.121616
3.339860,0.121620
3.345280,0.121619
3.350700,0.121613
3.356121,0.121602
3.361541,0.121586
3.366961,0.121566
3.372382,0.121540
3.377802,0.121510
3.383222,0.121475
3.388642,0.121435
3.394063,0.121390
3.399483,0.121341
3.404903,0.121287
3.410324,0.121228
