x,bps
0.010000,-0.000000
0.013614,-0.000000
0.019034,0.000000
0.024454,0.000000
0.032585,-0.000000
0.040715,-0.000000
0.048845,-0.000000
0.056976,-0.000000
0.065106,-0.000000
0.073237,-0.000000
0.081367,-0.000000
0.089497,-0.000000
0.097628,-0.000000
0.105758,-0.000000
0.113889,-0.000000
0.122019,-0.000000
0.130150,-0.000000
0.138280,-0.000000
0.146410,-0.000000
0.154541,-0.000000
0.162671,-0.000000
0.170802,-0.000000
0.178932,-0.000000
0.187063,-0.000000
0.195193,-0.000000
0.203323,-0.000000
0.211454,-0.000000
0.219584,-0.000000
0.227715,-0.000000
0.235845,-0.000000
0.243976,-0.000000
0.252106,-0.000000
0.260236,-0.000000
0.268367,-0.000000
0.276497,-0.000000
0.284628,-0.000000
0.292758,-0.000000
0.300888,-0.000000
0.309019,-0.000000
0.317149,-0.000000
0.325280,-0.000000
0.333410,-0.000000
0.341541,-0.000000
0.349671,-0.000000
0.357801,-0.000000
0.365932,-0.000000
0.374062,-0.000000
0.382193,-0.000000
0.390323,-0.000000
0.398454,-0.000000
0.406584,-0.000000
0.414714,-0.000000
0.422845,-0.000000
0.430975,-0.000000
0.439106,-0.000000
0.447236,-0.000000
0.455367,-0.000000
0.463497,-0.000000
0.471627,-0.000000
0.479758,-0.000000
0.487888,-0.000000
0.496019,-0.000000
0.504149,-0.000000
0.512279,-0.000000
0.520410,-0.000000
0.528540,-0.000000
0.536671,-0.000000
0.544801,-0.000000
0.552932,-0.000000
0.561062,-0.000000
0.569192,-0.000000
0.577323,-0.000000
0.585453,-0.000000
0.593584,-0.000000
0.601714,-0.000000
0.609845,-0.000000
0.617975,-0.000000
0.626105,-0.000000
0.634236,-0.000000
0.642366,-0.000000
0.650497,-0.000000
0.658627,-0.000000
0.666758,-0.000000
0.674888,-0.000000
0.683018,-0.000000
0.691149,-0.000000
0.699279,-0.000000
0.707410,-0.000000
0.715540,-0.000000
0.723670,-0.000000
0.731801,-0.000000
0.739931,-0.000000
0.748062,-0.000000
0.756192,-0.000000
0.764323,-0.000000
0.772453,-0.000000
0.780583,-0.000000
0.788714,-0.000000
0.796844,-0.000000
0.804975,-0.000000
0.813105,-0.000000
0.821236,-0.000000
0.829366,-0.000000
0.837496,-0.000000
0.845627,-0.000000
0.853757,-0.000000
0.861888,-0.000000
0.870018,-0.000000
0.878148,-0.000000
0.886279,-0.000000
0.894409,-0.000000
0.902540,-0.000000
0.910670,-0.000000
0.918801,-0.000000
0.926931,-0.000000
0.935061,-0.000000
0.943192,-0.000000
0.951322,-0.000000
0.959453,-0.000000
0.967583,-0.000000
0.975714,-0.000000
0.983844,-0.000000
0.991974,-0.000000
1.000105,-0.000000
1.008235,-0.000000
1.016366,-0.000000
1.024496,-0.000000
1.032627,-0.000000
1.040757,-0.000000
1.048887,-0.000000
1.057018,-0.000000
1.065148,-0.000000
1.073279,-0.000000
1.081409,-0.000000
1.089539,-0.000000
1.097670,-0.000000
1.105800,-0.000000
1.113931,-0.000000
1.122061,-0.000000
1.130192,-0.000000
1.138322,-0.000000
1.146452,-0.000000
1.154583,-0.000000
1.162713,-0.000000
1.170844,-0.000000
1.178974,-0.000000
1.187105,-0.000000
1.195235,-0.000000
1.203365,-0.000000
1.211496,-0.000000
1.219626,-0.000000
1.227757,-0.000000
1.235887,-0.000000
1.244018,-0.000000
1.252148,-0.000000
1.260278,-0.000000
1.268409,-0.000000
1.276539,-0.000000
1.284670,-0.000000
1.292800,-0.000000
1.300930,-0.000000
1.309061,-0.000000
1.317191,-0.000000
1.325322,-0.000000
1.333452,-0.000000
1.341583,-0.000000
1.349713,-0.000000
1.357843,-0.000000
1.365974,-0.000000
1.374104,-0.000000
1.382235,-0.000000
1.390365,-0.000000
1.398496,-0.000000
1.406626,-0.000001
1.414756,-0.000001
1.422887,-0.000001
1.431017,-0.000001
1.439148,-0.000001
1.445471,-0.000001
1.451795,-0.000001
1.459925,-0.000001
1.468056,-0.000001
1.476186,-0.000001
1.484317,-0.000001
1.492447,-0.000001
1.500578,-0.000001
1.506901,-0.000001
1.513225,-0.000001
1.518645,-0.000001
1.524065,-0.000001
1.529486,-0.000001
1.534906,-0.000001
1.540326,-0.000001
1.545747,-0.000001
1.551167,-0.000001
1.556587,-0.000001
1.562007,-0.000001
1.567428,-0.000001
1.572848,-0.000001
1.578268,-0.000002
1.583689,-0.000002
1.589109,-0.000002
1.594529,-0.000002
1.599949,-0.000002
1.605370,-0.000002
1.610790,-0.000002
1.616210,-0.000002
1.621631,-0.000002
1.627051,-0.000002
1.632471,-0.000002
1.637891,-0.000002
1.643312,-0.000002
1.648732,-0.000002
1.654152,-0.000002
1.659572,-0.000002
1.664993,-0.000003
1.670413,-0.000003
1.675833,-0.000003
1.681254,-0.000003
1.686674,-0.000003
1.692094,-0.000003
1.697514,-0.000003
1.702935,-0.000003
1.708355,-0.000003
1.713775,-0.000003
1.719196,-0.000003
1.724616,-0.000004
1.730036,-0.000004
1.735456,-0.000004
1.740877,-0.000004
1.746297,-0.000004
1.751717,-0.000004
1.757138,-0.000004
1.762558,-0.000004
1.767978,-0.000005
1.773398,-0.000005
1.778819,-0.000005
1.784239,-0.000005
1.789659,-0.000005
1.795080,-0.000005
1.800500,-0.000005
1.805920,-0.000006
1.811340,-0.000006
1.816761,-0.000006
1.822181,-0.000006
1.827601,-0.000006
1.833022,-0.000006
1.838442,-0.000006
1.843862,-0.000007
1.849282,-0.000007
1.854703,-0.000007
1.860123,-0.000007
1.865543,-0.000007
1.870963,-0.000008
1.876384,-0.000008
1.881804,-0.000008
1.887224,-0.000008
1.892645,-0.000009
1.898065,-0.000009
1.903485,-0.000009
1.908905,-0.000009
1.914326,-0.000009
1.919746,-0.000010
1.925166,-0.000010
1.930587,-0.000010
1.936007,-0.000010
1.941427,-0.000011
1.946847,-0.000011
1.952268,-0.000011
1.957688,-0.000012
1.963108,-0.000012
1.968529,-0.000012
1.973949,-0.000013
1.979369,-0.000013
1.984789,-0.000013
1.990210,-0.000014
1.995630,-0.000014
2.001050,-0.000014
2.006471,-0.000015
2.011891,-0.000015
2.017311,-0.000015
2.022731,-0.000016
2.028152,-0.000016
2.033572,-0.000016
2.038992,-0.000017
2.044413,-0.000017
2.049833,-0.000018
2.055253,-0.000018
2.060673,-0.000019
2.066094,-0.000019
2.071514,-0.000020
