x,B,f,A0,Atheta,A0`, energy
0.010000,-1.004492,0.000000,-0.311128,-0.000050,0.000000,0.500260
0.011355,-1.004029,0.000021,-0.311128,-0.000065,0.000000,0.500228
0.012710,-1.002044,0.000040,-0.311128,-0.000081,0.000000,0.500241
0.014065,-1.000702,0.000059,-0.311128,-0.000099,0.000001,0.500274
0.015420,-1.000239,0.000079,-0.311128,-0.000119,0.000001,0.500319
0.020841,-0.999974,0.000166,-0.311128,-0.000217,0.000003,0.500566
0.026261,-0.999989,0.000272,-0.311128,-0.000345,0.000006,0.500896
0.031681,-1.000014,0.000401,-0.311128,-0.000502,0.000014,0.501304
0.042522,-0.999994,0.000726,-0.311127,-0.000904,0.000026,0.502346
0.053362,-0.999996,0.001146,-0.311127,-0.001424,0.000051,0.503690
0.064203,-0.999999,0.001659,-0.311126,-0.002061,0.000101,0.505334
0.080464,-0.999995,0.002605,-0.311124,-0.003237,0.000206,0.508359
0.104855,-0.999985,0.004420,-0.311118,-0.005497,0.000391,0.514128
0.129246,-0.999968,0.006708,-0.311105,-0.008352,0.000834,0.521344
0.165833,-0.999920,0.011018,-0.311067,-0.013750,0.001522,0.534760
0.202420,-0.999809,0.016370,-0.310994,-0.020486,0.002701,0.551103
0.239007,-0.999630,0.022746,-0.310870,-0.028559,0.004359,0.570112
0.275594,-0.999357,0.030126,-0.310675,-0.037968,0.006562,0.591490
0.312181,-0.998957,0.038485,-0.310389,-0.048712,0.009365,0.614899
0.348768,-0.998397,0.047795,-0.309990,-0.060787,0.012815,0.639970
0.385355,-0.997643,0.058028,-0.309452,-0.074191,0.016945,0.666309
0.421941,-0.996820,0.069149,-0.308750,-0.088918,0.020885,0.693501
0.446333,-0.995876,0.077039,-0.308178,-0.099468,0.025325,0.711893
0.470724,-0.994942,0.085298,-0.307514,-0.110601,0.029255,0.730345
0.495115,-0.993865,0.093912,-0.306751,-0.122314,0.033499,0.748730
0.519507,-0.992631,0.102871,-0.305880,-0.134605,0.038048,0.766918
0.543898,-0.991231,0.112162,-0.304895,-0.147470,0.042897,0.784784
0.568289,-0.989650,0.121771,-0.303788,-0.160904,0.048033,0.802203
0.592680,-0.987878,0.131686,-0.302552,-0.174905,0.053444,0.819054
0.617072,-0.985901,0.141893,-0.301180,-0.189465,0.059114,0.835220
0.641463,-0.983708,0.152378,-0.299668,-0.204581,0.065026,0.850589
0.665854,-0.981287,0.163127,-0.298008,-0.220247,0.071160,0.865056
0.690245,-0.978627,0.174126,-0.296197,-0.236454,0.077495,0.878520
0.714637,-0.975715,0.185360,-0.294228,-0.253197,0.084008,0.890888
0.739028,-0.972542,0.196814,-0.292098,-0.270468,0.090674,0.902076
0.763419,-0.969096,0.208474,-0.289805,-0.288258,0.097466,0.912007
0.787810,-0.965366,0.220325,-0.287344,-0.306557,0.104358,0.920612
0.812202,-0.961440,0.232351,-0.284714,-0.325356,0.111126,0.927832
0.835238,-0.957270,0.243857,-0.282073,-0.343560,0.117935,0.933334
0.858274,-0.953573,0.255494,-0.279280,-0.362191,0.123395,0.937523
0.873180,-0.949968,0.263088,-0.277392,-0.374470,0.128850,0.939520
0.888086,-0.947115,0.270727,-0.275439,-0.386919,0.132736,0.940950
0.900281,-0.944264,0.277010,-0.273794,-0.397231,0.136607,0.941695
0.912477,-0.941561,0.283319,-0.272107,-0.407654,0.140073,0.942057
0.924673,-0.938774,0.289653,-0.270378,-0.418187,0.143520,0.942034
0.936868,-0.935902,0.296010,-0.268606,-0.428827,0.146942,0.941625
0.949064,-0.932945,0.302388,-0.266794,-0.439573,0.150336,0.940832
0.961259,-0.929901,0.308786,-0.264940,-0.450423,0.153699,0.939654
0.973455,-0.926770,0.315202,-0.263045,-0.461375,0.157028,0.938094
0.985651,-0.923552,0.321633,-0.261109,-0.472428,0.160317,0.936153
0.997846,-0.920245,0.328078,-0.259134,-0.483578,0.163565,0.933833
1.010042,-0.916849,0.334536,-0.257120,-0.494825,0.166768,0.931138
1.022238,-0.913364,0.341004,-0.255067,-0.506166,0.169921,0.928071
1.034433,-0.909790,0.347481,-0.252975,-0.517598,0.173023,0.924637
1.046629,-0.906126,0.353965,-0.250846,-0.529120,0.176069,0.920840
1.058825,-0.902371,0.360455,-0.248681,-0.540730,0.179056,0.916684
1.071020,-0.898526,0.366948,-0.246479,-0.552424,0.181982,0.912177
1.083216,-0.894950,0.373444,-0.244242,-0.564202,0.184531,0.907323
1.092701,-0.891471,0.378496,-0.242478,-0.573418,0.187026,0.903313
1.102187,-0.887918,0.383548,-0.240694,-0.582682,0.189462,0.899100
1.114382,-0.884119,0.390042,-0.238370,-0.594660,0.191841,0.893392
1.126578,-0.879861,0.396532,-0.236015,-0.606712,0.194449,0.887362
1.138774,-0.875512,0.403017,-0.233628,-0.618837,0.196981,0.881019
1.150969,-0.871073,0.409495,-0.231210,-0.631030,0.199433,0.874371
1.163165,-0.866544,0.415964,-0.228763,-0.643290,0.201803,0.867427
1.175361,-0.861925,0.422424,-0.226288,-0.655614,0.204089,0.860194
1.187556,-0.857218,0.428873,-0.223785,-0.668000,0.206290,0.852683
1.199752,-0.852421,0.435310,-0.221256,-0.680444,0.208402,0.844903
1.211948,-0.847536,0.441732,-0.218702,-0.692944,0.210425,0.836864
1.224143,-0.842564,0.448139,-0.216124,-0.705497,0.212356,0.828575
1.236339,-0.837506,0.454529,-0.213522,-0.718101,0.214194,0.820047
1.248534,-0.832361,0.460901,-0.210899,-0.730753,0.215938,0.811289
1.260730,-0.827131,0.467253,-0.208255,-0.743449,0.217586,0.802313
1.272926,-0.821817,0.473585,-0.205592,-0.756187,0.219137,0.793129
1.285121,-0.816421,0.479895,-0.202910,-0.768964,0.220590,0.783748
1.297317,-0.810942,0.486182,-0.200211,-0.781778,0.221945,0.774180
1.309513,-0.805382,0.492444,-0.197497,-0.794624,0.223200,0.764437
1.321708,-0.799743,0.498681,-0.194767,-0.807501,0.224355,0.754529
1.333904,-0.794026,0.504891,-0.192024,-0.820406,0.225409,0.744466
1.346100,-0.788232,0.511073,-0.189269,-0.833335,0.226362,0.734261
1.358295,-0.782362,0.517226,-0.186503,-0.846285,0.227213,0.723924
1.370491,-0.776418,0.523350,-0.183727,-0.859254,0.227963,0.713466
1.382686,-0.770402,0.529442,-0.180943,-0.872239,0.228612,0.702897
1.394882,-0.763233,0.535503,-0.178151,-0.885236,0.229259,0.692229
1.412498,-0.755394,0.544198,-0.174108,-0.904025,0.229753,0.676665
1.430114,-0.744951,0.552823,-0.170057,-0.922826,0.230195,0.660948
1.454505,-0.733580,0.564641,-0.164439,-0.948858,0.230339,0.638989
1.478896,-0.720592,0.576310,-0.158820,-0.974870,0.230161,0.616876
1.503288,-0.707381,0.587824,-0.153211,-1.000839,0.229599,0.594687
1.527679,-0.693965,0.599177,-0.147620,-1.026739,0.228661,0.572495
1.552070,-0.680362,0.610364,-0.142056,-1.052549,0.227358,0.550371
1.576461,-0.666589,0.621380,-0.136529,-1.078246,0.225703,0.528383
1.600853,-0.652667,0.632220,-0.131046,-1.103806,0.223708,0.506593
1.625244,-0.638613,0.642881,-0.125615,-1.129209,0.221389,0.485059
1.649635,-0.624448,0.653358,-0.120246,-1.154431,0.218759,0.463836
1.674027,-0.610192,0.663649,-0.114944,-1.179454,0.215837,0.442973
1.698418,-0.595865,0.673752,-0.109717,-1.204255,0.212638,0.422514
1.722809,-0.581486,0.683662,-0.104571,-1.228816,0.209180,0.402500
1.747200,-0.567075,0.693380,-0.099512,-1.253118,0.205481,0.382966
1.771592,-0.553853,0.702902,-0.094547,-1.277143,0.202013,0.363942
1.790563,-0.541433,0.710172,-0.090753,-1.295626,0.198381,0.349516
1.809534,-0.531719,0.717324,-0.087020,-1.313924,0.195677,0.335426
