x,bps
0.010000,0.000000
0.012710,0.000000
0.015420,0.000000
0.018130,0.000000
0.020841,0.000000
0.023551,0.000000
0.026261,0.000000
0.028971,0.000000
0.031681,0.000000
0.034090,0.000000
0.036499,0.000000
0.038607,0.000000
0.040715,0.000000
0.043425,0.000000
0.046135,0.000000
0.048845,0.000000
0.051555,0.000000
0.054266,0.000000
0.056976,0.000000
0.059686,0.000000
0.062396,0.000000
0.065106,0.000000
0.067816,0.000000
0.070526,0.000000
0.073237,0.000000
0.075947,0.000000
0.078657,0.000000
0.081367,0.000000
0.084077,0.000000
0.086787,0.000000
0.089497,0.000000
0.092208,0.000000
0.094918,0.000000
0.097628,0.000000
0.100338,0.000000
0.103048,0.000000
0.105758,0.000000
0.108468,0.000000
0.111179,0.000000
0.113889,0.000000
0.116599,0.000000
0.119309,0.000000
0.122019,0.000000
0.124729,0.000000
0.127439,0.000000
0.130150,0.000000
0.132860,0.000000
0.135570,0.000000
0.138280,0.000000
0.140990,0.000000
0.143700,0.000000
0.146410,0.000000
0.149121,0.000000
0.151831,0.000000
0.154541,0.000000
0.157251,0.000000
0.159961,0.000000
0.162671,0.000000
0.165381,0.000000
0.168092,0.000000
0.170802,0.000000
0.173512,0.000000
0.176222,0.000000
0.178932,0.000000
0.181642,0.000000
0.184352,0.000000
0.187063,0.000000
0.189773,0.000000
0.192483,0.000000
0.195193,0.000000
0.197903,0.000000
0.200613,0.000000
0.203323,0.000000
0.206034,0.000000
0.208744,0.000001
0.212357,0.000001
0.215971,0.000001
0.221391,0.000001
0.226811,0.000001
0.232232,0.000001
0.237652,0.000001
0.243072,0.000001
0.248492,0.000002
0.252106,0.000002
0.255719,0.000002
0.258430,0.000002
0.261140,0.000002
0.263850,0.000003
0.266560,0.000003
0.271077,0.000003
0.275594,0.000004
0.283724,0.000004
0.291855,0.000005
0.299082,0.000006
0.306309,0.000007
0.311729,0.000008
0.317149,0.000009
0.322570,0.000011
0.327990,0.000012
0.333410,0.000013
0.338830,0.000015
0.344251,0.000017
0.349671,0.000019
0.355091,0.000021
0.360512,0.000023
0.365932,0.000025
0.371352,0.000028
0.374966,0.000030
0.378579,0.000032
0.381289,0.000034
0.383999,0.000035
0.386710,0.000037
0.389420,0.000039
0.392130,0.000041
0.394840,0.000043
0.397550,0.000045
0.400260,0.000047
0.402970,0.000050
0.405681,0.000052
0.408391,0.000054
0.411101,0.000057
0.413811,0.000059
0.416521,0.000062
0.419231,0.000065
0.421941,0.000068
0.424652,0.000071
0.427362,0.000074
0.430072,0.000078
0.432782,0.000081
0.435492,0.000085
0.438202,0.000088
0.440912,0.000092
0.443623,0.000096
0.446333,0.000100
0.449043,0.000105
0.451753,0.000109
0.454463,0.000114
0.457173,0.000118
0.459883,0.000123
0.462594,0.000128
0.465304,0.000133
0.468014,0.000139
0.470724,0.000145
0.473434,0.000150
0.476144,0.000156
0.478854,0.000163
0.481565,0.000169
0.484275,0.000176
0.486985,0.000183
0.489695,0.000190
0.492405,0.000197
0.495115,0.000205
0.497825,0.000212
0.500536,0.000220
0.503246,0.000229
0.505956,0.000237
0.508666,0.000246
0.514086,0.000265
0.519507,0.000284
0.524927,0.000305
0.530347,0.000328
0.535767,0.000351
0.541188,0.000376
0.546608,0.000403
0.552028,0.000431
0.557448,0.000460
0.562869,0.000492
0.568289,0.000525
0.573709,0.000560
0.579130,0.000597
0.584550,0.000636
0.589970,0.000678
0.595390,0.000721
0.600811,0.000767
0.606231,0.000815
0.611651,0.000866
0.617072,0.000919
0.622492,0.000975
0.627912,0.001034
0.633332,0.001096
0.638753,0.001162
0.646883,0.001265
0.655014,0.001377
0.663144,0.001496
0.671274,0.001625
0.679405,0.001762
0.687535,0.001909
0.695666,0.002066
0.703796,0.002234
0.711927,0.002413
0.720057,0.002604
0.728187,0.002807
0.736318,0.003024
0.744448,0.003254
0.752579,0.003499
0.760709,0.003759
0.768839,0.004036
0.778325,0.004379
0.787810,0.004746
0.800006,0.005256
0.812202,0.005810
0.824397,0.006412
0.836593,0.007065
0.848789,0.007773
0.860984,0.008538
0.873180,0.009364
0.885376,0.010256
0.897571,0.011216
0.909767,0.012249
0.921962,0.013360
0.934158,0.014552
0.944095,0.015587
0.954032,0.016681
0.962615,0.017677
0.971197,0.018720
0.979327,0.019754
0.987458,0.020835
0.995588,0.021963
1.003718,0.023141
1.011849,0.024370
1.019979,0.025651
1.028110,0.026987
1.036240,0.028379
1.044370,0.029828
1.052501,0.031337
1.060631,0.032907
1.068762,0.034540
1.076892,0.036238
1.085023,0.038003
1.093153,0.039836
1.101283,0.041740
1.109414,0.043717
1.117544,0.045768
1.125675,0.047895
1.133805,0.050101
1.141936,0.052388
1.150066,0.054757
1.158196,0.057211
1.166327,0.059752
1.174457,0.062382
1.182588,0.065103
1.190718,0.067918
1.198849,0.070828
1.206076,0.073497
1.213303,0.076244
1.218723,0.078358
1.224143,0.080517
1.229563,0.082723
1.234984,0.084977
1.240404,0.087278
1.245824,0.089628
1.251245,0.092027
1.256665,0.094477
1.262085,0.096977
1.267505,0.099528
1.272926,0.102132
1.278346,0.104788
1.283766,0.107498
1.289187,0.110263
1.294607,0.113082
1.300027,0.115957
1.305447,0.118888
1.310868,0.121876
1.316288,0.124922
1.321708,0.128026
1.327129,0.131190
1.332549,0.134414
1.337969,0.137698
1.343389,0.141044
1.348810,0.144451
1.354230,0.147921
1.359650,0.151455
1.365070,0.155053
1.370491,0.158716
1.375911,0.162445
1.381331,0.166239
1.386752,0.170101
1.392172,0.174031
1.397592,0.178029
1.403012,0.182096
1.408433,0.186232
1.413853,0.190440
1.419273,0.194718
1.424694,0.199069
1.430114,0.203492
1.435534,0.207988
1.440954,0.212558
1.446375,0.217203
1.451795,0.221923
1.457215,0.226720
1.462636,0.231592
1.468056,0.236542
1.473476,0.241570
1.478896,0.246677
1.484317,0.251863
1.489737,0.257129
1.495157,0.262475
1.500578,0.267902
1.505998,0.273411
1.511418,0.279003
1.516838,0.284677
1.522259,0.290435
1.527679,0.296278
1.533099,0.302205
1.538520,0.308217
1.543940,0.314315
1.549360,0.320500
1.554780,0.326772
1.560201,0.333131
1.565621,0.339579
1.571041,0.346115
1.579172,0.356087
1.587302,0.366261
1.595432,0.376639
