x,B,f,A0,Atheta,A0`, energy, f`
0.033956,-0.500000,0.000000,-0.248986,-0.000288,0.000000,0.500000,0.000000
0.034023,-0.500000,0.000000,-0.248986,-0.000289,0.000000,0.500000,0.000000
0.034090,-0.500000,0.000000,-0.248986,-0.000291,0.000000,0.500000,0.000000
0.034191,-0.500000,0.000000,-0.248986,-0.000292,0.000000,0.500000,0.000000
0.034291,-0.500000,0.000000,-0.248986,-0.000294,0.000000,0.500000,0.000000
0.034391,-0.500000,0.000000,-0.248986,-0.000296,0.000000,0.500000,0.000000
0.034492,-0.500000,0.000000,-0.248986,-0.000297,0.000000,0.500000,0.000000
0.034592,-0.500000,0.000000,-0.248986,-0.000299,0.000000,0.500000,0.000000
0.034692,-0.500000,0.000000,-0.248986,-0.000301,0.000000,0.500000,0.000000
0.034793,-0.500000,0.000000,-0.248986,-0.000303,0.000000,0.500000,0.000000
0.034893,-0.500000,0.000000,-0.248986,-0.000304,0.000000,0.500000,0.000000
0.034994,-0.500000,0.000000,-0.248986,-0.000306,0.000000,0.500000,0.000000
0.035094,-0.500000,0.000000,-0.248986,-0.000308,0.000000,0.500000,0.000000
0.035194,-0.500000,0.000000,-0.248986,-0.000310,0.000000,0.500000,0.000000
0.035295,-0.500000,0.000000,-0.248986,-0.000311,0.000000,0.500000,0.000000
0.035395,-0.500000,0.000000,-0.248986,-0.000313,0.000000,0.500000,0.000000
0.035495,-0.500000,0.000000,-0.248986,-0.000315,0.000000,0.500000,0.000000
0.035596,-0.500000,0.000000,-0.248986,-0.000317,0.000000,0.500000,0.000000
0.035696,-0.500000,0.000000,-0.248986,-0.000319,0.000000,0.500000,0.000000
0.035797,-0.500000,0.000000,-0.248986,-0.000320,0.000000,0.500000,0.000000
0.035897,-0.500000,0.000000,-0.248986,-0.000322,0.000000,0.500000,0.000000
0.035997,-0.500000,0.000000,-0.248986,-0.000324,0.000000,0.500000,0.000000
0.036098,-0.500000,0.000000,-0.248986,-0.000326,0.000000,0.500000,0.000000
0.036198,-0.500000,0.000000,-0.248986,-0.000328,0.000000,0.500000,0.000000
0.036298,-0.500000,0.000000,-0.248986,-0.000329,0.000000,0.500000,0.000000
0.036399,-0.500000,0.000000,-0.248986,-0.000331,0.000000,0.500000,0.000000
0.036499,-0.500000,0.000000,-0.248986,-0.000333,0.000000,0.500000,0.000000
0.036600,-0.500000,0.000000,-0.248986,-0.000335,0.000000,0.500000,0.000000
0.036700,-0.500000,0.000000,-0.248986,-0.000337,0.000000,0.500000,0.000000
0.036800,-0.500000,0.000000,-0.248986,-0.000339,0.000000,0.500000,0.000000
0.036901,-0.500000,0.000000,-0.248986,-0.000340,0.000000,0.500000,0.000000
