x,B,f,A0,Atheta,A0`, energy
0.010000,-0.500768,0.000000,-0.247171,-0.000025,0.000000,0.500000
0.010903,-0.500706,0.000000,-0.247171,-0.000030,0.000000,0.500000
0.011807,-0.500214,0.000000,-0.247171,-0.000035,0.000000,0.500000
0.013614,-0.500006,0.000000,-0.247171,-0.000046,0.000000,0.500000
0.017227,-0.500001,0.000000,-0.247171,-0.000074,0.000000,0.500000
0.022647,-0.500001,0.000001,-0.247171,-0.000128,0.000000,0.500000
0.030778,-0.500327,0.000002,-0.247171,-0.000237,0.000000,0.500000
0.038908,-0.500432,0.000005,-0.247171,-0.000379,0.000000,0.500000
0.047039,-0.500038,0.000008,-0.247171,-0.000553,0.000000,0.500001
0.055169,-0.500015,0.000013,-0.247171,-0.000761,0.000000,0.500001
0.063299,-0.500002,0.000020,-0.247171,-0.001002,0.000000,0.500002
0.071430,-0.500001,0.000029,-0.247171,-0.001276,0.000000,0.500003
0.079560,-0.500000,0.000039,-0.247171,-0.001583,0.000000,0.500004
0.087691,-0.500000,0.000053,-0.247171,-0.001923,0.000000,0.500007
0.095821,-0.500000,0.000069,-0.247171,-0.002296,0.000000,0.500009
0.103952,-0.500000,0.000088,-0.247171,-0.002702,0.000000,0.500013
0.112082,-0.500000,0.000110,-0.247171,-0.003141,0.000000,0.500017
0.120212,-0.500000,0.000136,-0.247171,-0.003613,0.000000,0.500023
0.128343,-0.500000,0.000166,-0.247171,-0.004118,0.000000,0.500030
0.136473,-0.500000,0.000199,-0.247171,-0.004656,0.000000,0.500038
0.144604,-0.500000,0.000237,-0.247171,-0.005228,0.000001,0.500048
0.152734,-0.500000,0.000279,-0.247171,-0.005832,0.000001,0.500060
0.160865,-0.500000,0.000326,-0.247171,-0.006470,0.000001,0.500073
0.168995,-0.500000,0.000377,-0.247171,-0.007140,0.000001,0.500089
0.177125,-0.500000,0.000434,-0.247171,-0.007844,0.000002,0.500107
0.185256,-0.500000,0.000497,-0.247171,-0.008580,0.000002,0.500128
0.193386,-0.500000,0.000565,-0.247171,-0.009350,0.000002,0.500152
0.201517,-0.500000,0.000639,-0.247171,-0.010152,0.000003,0.500179
0.209647,-0.500000,0.000719,-0.247171,-0.010988,0.000004,0.500210
0.217777,-0.500000,0.000806,-0.247171,-0.011857,0.000004,0.500244
0.225908,-0.500000,0.000899,-0.247171,-0.012759,0.000005,0.500282
0.234038,-0.500000,0.000999,-0.247171,-0.013694,0.000006,0.500324
0.242169,-0.500000,0.001106,-0.247171,-0.014662,0.000008,0.500371
0.250299,-0.499999,0.001221,-0.247171,-0.015663,0.000009,0.500422
0.258430,-0.499999,0.001343,-0.247171,-0.016697,0.000010,0.500479
0.266560,-0.499999,0.001473,-0.247171,-0.017764,0.000012,0.500541
0.274690,-0.499999,0.001611,-0.247171,-0.018864,0.000014,0.500609
0.282821,-0.499999,0.001757,-0.247171,-0.019997,0.000016,0.500682
0.290951,-0.499999,0.001912,-0.247171,-0.021163,0.000019,0.500763
0.299082,-0.499998,0.002075,-0.247170,-0.022363,0.000021,0.500850
0.307212,-0.499998,0.002248,-0.247170,-0.023595,0.000025,0.500944
0.315343,-0.499998,0.002430,-0.247170,-0.024860,0.000028,0.501045
0.323473,-0.499997,0.002621,-0.247170,-0.026159,0.000032,0.501154
0.331603,-0.499997,0.002821,-0.247169,-0.027490,0.000036,0.501271
0.339734,-0.499997,0.003032,-0.247169,-0.028855,0.000040,0.501397
0.347864,-0.499996,0.003252,-0.247169,-0.030253,0.000045,0.501531
0.355995,-0.499995,0.003483,-0.247168,-0.031683,0.000051,0.501675
0.364125,-0.499995,0.003724,-0.247168,-0.033147,0.000057,0.501828
0.372256,-0.499994,0.003976,-0.247168,-0.034644,0.000063,0.501991
