x,B,f,A0,Atheta,A0`, energy
0.010000,-0.500015,0.000000,-0.248772,-0.000025,0.000000,0.500000
0.012710,-0.500018,0.000000,-0.248772,-0.000040,0.000000,0.500000
0.015420,-0.500015,0.000000,-0.248772,-0.000059,0.000000,0.500000
0.017528,-0.500006,0.000000,-0.248772,-0.000077,0.000000,0.500000
0.019636,-0.500004,0.000000,-0.248772,-0.000096,0.000000,0.500000
0.022045,-0.500003,0.000000,-0.248772,-0.000121,0.000000,0.500000
0.024454,-0.500002,0.000000,-0.248772,-0.000150,0.000000,0.500000
0.027164,-0.500002,0.000000,-0.248772,-0.000184,0.000000,0.500000
0.029874,-0.500001,0.000000,-0.248772,-0.000223,0.000000,0.500000
0.032585,-0.500001,0.000000,-0.248772,-0.000265,0.000000,0.500000
0.035295,-0.500001,0.000000,-0.248772,-0.000311,0.000000,0.500000
0.038908,-0.500001,0.000000,-0.248772,-0.000378,0.000000,0.500000
0.042522,-0.500001,0.000000,-0.248772,-0.000452,0.000000,0.500000
0.049749,-0.500001,0.000000,-0.248772,-0.000619,0.000000,0.500000
0.056976,-0.500001,0.000000,-0.248772,-0.000812,0.000000,0.500000
0.065106,-0.500001,0.000000,-0.248772,-0.001060,0.000000,0.500000
0.073237,-0.500000,0.000000,-0.248772,-0.001341,0.000000,0.500000
0.081367,-0.500000,0.000000,-0.248772,-0.001655,0.000000,0.500000
0.089497,-0.500000,0.000000,-0.248772,-0.002002,0.000000,0.500000
0.097628,-0.500000,0.000000,-0.248772,-0.002383,0.000000,0.500000
0.105758,-0.500000,0.000000,-0.248772,-0.002796,0.000000,0.500000
0.113889,-0.500000,0.000000,-0.248772,-0.003243,0.000000,0.500000
0.122019,-0.500000,0.000000,-0.248772,-0.003722,0.000000,0.500000
0.130150,-0.500000,0.000000,-0.248772,-0.004235,0.000000,0.500000
0.138280,-0.500000,0.000000,-0.248772,-0.004780,0.000000,0.500000
0.146410,-0.500000,0.000000,-0.248772,-0.005359,0.000000,0.500000
