x,B,f,A0,Atheta,A0`, energy
0.010000,-0.500000,0.000000,2.478108,-0.000025,0.000000,0.500000
0.013614,-0.500000,0.000000,2.478108,-0.000046,0.000000,0.500000
0.017227,-0.500000,0.000000,2.478108,-0.000074,0.000000,0.500000
0.020841,-0.500000,0.000000,2.478108,-0.000109,0.000000,0.500000
0.024454,-0.500000,0.000000,2.478108,-0.000150,0.000000,0.500000
0.028068,-0.499935,0.000000,2.478108,-0.000197,0.000000,0.500000
0.034391,-0.499911,0.000000,2.478108,-0.000296,0.000000,0.500000
0.040715,-0.499926,0.000000,2.478108,-0.000414,0.000000,0.500000
0.048845,-0.499930,0.000000,2.478108,-0.000596,0.000000,0.500000
0.056976,-0.499970,0.000000,2.478108,-0.000811,0.000000,0.500000
0.065106,-0.499994,0.000000,2.478108,-0.001060,0.000000,0.500000
0.073237,-0.499997,0.000000,2.478108,-0.001341,0.000000,0.500000
0.081367,-0.499999,0.000000,2.478108,-0.001655,0.000000,0.500000
0.089497,-0.499999,0.000000,2.478108,-0.002002,0.000000,0.500000
0.097628,-0.500000,0.000000,2.478108,-0.002383,0.000000,0.500000
0.105758,-0.500000,0.000000,2.478108,-0.002796,0.000000,0.500000
0.113889,-0.500000,0.000000,2.478108,-0.003243,0.000000,0.500000
0.122019,-0.500000,0.000000,2.478108,-0.003722,0.000000,0.500000
0.130150,-0.500000,0.000000,2.478108,-0.004235,0.000000,0.500000
0.138280,-0.500000,0.000000,2.478108,-0.004780,0.000000,0.500000
0.146410,-0.500000,0.000000,2.478108,-0.005359,0.000000,0.500000
0.154541,-0.500000,0.000000,2.478108,-0.005971,0.000000,0.500000
0.162671,-0.500000,0.000000,2.478108,-0.006615,0.000000,0.500000
0.170802,-0.500000,0.000000,2.478108,-0.007293,-0.000000,0.500000
0.178932,-0.500000,0.000000,2.478108,-0.008004,-0.000000,0.500000
0.187063,-0.500000,0.000000,2.478108,-0.008748,-0.000000,0.500000
0.195193,-0.500000,0.000000,2.478108,-0.009525,-0.000000,0.500000
0.203323,-0.500000,0.000000,2.478108,-0.010335,-0.000000,0.500000
0.211454,-0.500000,0.000000,2.478108,-0.011178,-0.000000,0.500000
0.219584,-0.500000,0.000000,2.478108,-0.012054,-0.000000,0.500000
0.227715,-0.500000,0.000000,2.478108,-0.012963,-0.000000,0.500000
0.235845,-0.500000,0.000000,2.478108,-0.013906,-0.000000,0.500000
0.243976,-0.500000,0.000000,2.478108,-0.014881,-0.000000,0.500000
0.252106,-0.500000,0.000000,2.478108,-0.015889,-0.000000,0.500000
0.260236,-0.500000,0.000001,2.478108,-0.016931,-0.000000,0.500000
0.268367,-0.500000,0.000001,2.478108,-0.018005,-0.000000,0.500000
0.276497,-0.500000,0.000001,2.478108,-0.019113,-0.000000,0.500000
0.284628,-0.500000,0.000001,2.478108,-0.020253,-0.000000,0.500000
0.292758,-0.500000,0.000001,2.478108,-0.021427,-0.000000,0.500000
0.300888,-0.500000,0.000001,2.478108,-0.022633,-0.000000,0.500000
0.309019,-0.500000,0.000002,2.478108,-0.023873,-0.000000,0.500000
0.317149,-0.500000,0.000002,2.478108,-0.025146,-0.000000,0.500000
0.325280,-0.500000,0.000003,2.478108,-0.026452,-0.000000,0.500000
0.333410,-0.500000,0.000003,2.478108,-0.027790,-0.000000,0.500000
0.341541,-0.500000,0.000004,2.478108,-0.029162,-0.000000,0.500000
0.349671,-0.500000,0.000004,2.478108,-0.030567,-0.000000,0.500000
0.357801,-0.500000,0.000005,2.478108,-0.032005,-0.000000,0.500000
0.365932,-0.500000,0.000006,2.478108,-0.033476,-0.000000,0.500000
0.374062,-0.500000,0.000007,2.478108,-0.034981,-0.000000,0.500000
0.382193,-0.500000,0.000008,2.478108,-0.036518,-0.000000,0.500000
0.390323,-0.500000,0.000009,2.478108,-0.038088,-0.000000,0.500000
0.398454,-0.500000,0.000010,2.478108,-0.039691,-0.000000,0.500000
0.406584,-0.500000,0.000012,2.478108,-0.041328,-0.000000,0.500000
0.414714,-0.500000,0.000013,2.478108,-0.042997,-0.000000,0.500000
0.422845,-0.500000,0.000015,2.478108,-0.044699,-0.000000,0.500000
0.430975,-0.500000,0.000018,2.478108,-0.046435,-0.000000,0.500000
0.439106,-0.500000,0.000020,2.478108,-0.048203,-0.000000,0.500000
0.447236,-0.500000,0.000023,2.478108,-0.050005,-0.000000,0.500000
0.455367,-0.500000,0.000026,2.478108,-0.051840,-0.000000,0.500000
0.463497,-0.500000,0.000029,2.478108,-0.053707,-0.000000,0.500000
0.471627,-0.500000,0.000033,2.478108,-0.055608,-0.000000,0.500000
0.479758,-0.500000,0.000037,2.478108,-0.057542,-0.000000,0.500001
0.487888,-0.500000,0.000041,2.478108,-0.059509,-0.000000,0.500001
0.496019,-0.500000,0.000046,2.478108,-0.061509,-0.000000,0.500001
0.504149,-0.500000,0.000052,2.478108,-0.063541,-0.000000,0.500001
0.512279,-0.500000,0.000058,2.478108,-0.065607,-0.000000,0.500001
0.520410,-0.500000,0.000064,2.478108,-0.067707,-0.000000,0.500002
0.528540,-0.500000,0.000072,2.478108,-0.069839,-0.000000,0.500002
0.536671,-0.500000,0.000079,2.478108,-0.072004,-0.000000,0.500002
0.544801,-0.500000,0.000088,2.478108,-0.074202,-0.000000,0.500003
0.552932,-0.500000,0.000098,2.478108,-0.076433,-0.000000,0.500003
0.561062,-0.500000,0.000108,2.478108,-0.078698,-0.000000,0.500004
0.569192,-0.500000,0.000119,2.478108,-0.080995,-0.000000,0.500004
0.577323,-0.500000,0.000131,2.478108,-0.083325,-0.000000,0.500005
0.585453,-0.500000,0.000144,2.478108,-0.085689,-0.000000,0.500006
0.593584,-0.500000,0.000158,2.478108,-0.088085,-0.000000,0.500007
0.601714,-0.500000,0.000174,2.478108,-0.090515,-0.000000,0.500008
0.609845,-0.500000,0.000190,2.478108,-0.092977,-0.000000,0.500010
0.617975,-0.500000,0.000208,2.478108,-0.095473,-0.000000,0.500011
0.626105,-0.500000,0.000227,2.478108,-0.098002,-0.000000,0.500013
0.634236,-0.500000,0.000248,2.478108,-0.100564,-0.000000,0.500015
0.642366,-0.500000,0.000271,2.478108,-0.103158,-0.000000,0.500017
0.650497,-0.500000,0.000295,2.478108,-0.105786,-0.000000,0.500020
0.658627,-0.500000,0.000320,2.478108,-0.108447,-0.000001,0.500023
0.666758,-0.500000,0.000348,2.478108,-0.111141,-0.000001,0.500027
0.674888,-0.500000,0.000378,2.478108,-0.113868,-0.000001,0.500031
0.683018,-0.500000,0.000410,2.478108,-0.116628,-0.000001,0.500035
0.691149,-0.500000,0.000444,2.478108,-0.119422,-0.000001,0.500041
0.699279,-0.500000,0.000480,2.478108,-0.122248,-0.000001,0.500046
0.707410,-0.500000,0.000519,2.478108,-0.125107,-0.000001,0.500053
0.715540,-0.499999,0.000560,2.478108,-0.127999,-0.000002,0.500060
0.723670,-0.499999,0.000605,2.478108,-0.130925,-0.000002,0.500069
0.731801,-0.499999,0.000652,2.478108,-0.133883,-0.000002,0.500078
0.739931,-0.499999,0.000702,2.478108,-0.136874,-0.000002,0.500089
0.748062,-0.499999,0.000755,2.478108,-0.139899,-0.000003,0.500101
0.756192,-0.499999,0.000812,2.478108,-0.142957,-0.000003,0.500114
0.764323,-0.499999,0.000872,2.478108,-0.146047,-0.000004,0.500128
0.772453,-0.499998,0.000936,2.478108,-0.149171,-0.000004,0.500145
0.780583,-0.499998,0.001003,2.478108,-0.152327,-0.000005,0.500163
0.788714,-0.499998,0.001075,2.478108,-0.155517,-0.000005,0.500184
0.796844,-0.499998,0.001151,2.478108,-0.158740,-0.000006,0.500206
0.804975,-0.499997,0.001231,2.478108,-0.161996,-0.000007,0.500231
0.813105,-0.499997,0.001316,2.478108,-0.165285,-0.000008,0.500259
0.821236,-0.499997,0.001406,2.478108,-0.168607,-0.000009,0.500290
0.829366,-0.499996,0.001501,2.478108,-0.171962,-0.000010,0.500324
0.837496,-0.499996,0.001601,2.478107,-0.175350,-0.000011,0.500361
0.845627,-0.499995,0.001707,2.478107,-0.178771,-0.000012,0.500403
0.853757,-0.499994,0.001818,2.478107,-0.182225,-0.000014,0.500449
0.861888,-0.499993,0.001936,2.478107,-0.185712,-0.000016,0.500499
0.870018,-0.499993,0.002059,2.478107,-0.189232,-0.000018,0.500554
0.878148,-0.499992,0.002189,2.478107,-0.192786,-0.000020,0.500615
0.886279,-0.499991,0.002326,2.478107,-0.196372,-0.000022,0.500682
0.894409,-0.499989,0.002470,2.478107,-0.199991,-0.000025,0.500755
0.902540,-0.499988,0.002621,2.478106,-0.203644,-0.000027,0.500835
0.910670,-0.499987,0.002779,2.478106,-0.207329,-0.000031,0.500923
0.918801,-0.499985,0.002946,2.478106,-0.211048,-0.000034,0.501018
0.926931,-0.499983,0.003120,2.478106,-0.214799,-0.000038,0.501123
0.935061,-0.499981,0.003303,2.478105,-0.218584,-0.000042,0.501237
0.943192,-0.499979,0.003495,2.478105,-0.222401,-0.000047,0.501361
0.951322,-0.499976,0.003695,2.478104,-0.226252,-0.000052,0.501496
0.959453,-0.499973,0.003906,2.478104,-0.230136,-0.000058,0.501643
0.967583,-0.499970,0.004125,2.478103,-0.234052,-0.000064,0.501803
0.975714,-0.499967,0.004355,2.478103,-0.238002,-0.000070,0.501977
0.983844,-0.499964,0.004596,2.478102,-0.241985,-0.000077,0.502166
0.990168,-0.499960,0.004790,2.478102,-0.245105,-0.000084,0.502323
0.996491,-0.499957,0.004991,2.478101,-0.248246,-0.000090,0.502491
1.001912,-0.499954,0.005169,2.478101,-0.250954,-0.000097,0.502643
1.007332,-0.499950,0.005352,2.478100,-0.253676,-0.000103,0.502803
1.012752,-0.499947,0.005540,2.478100,-0.256413,-0.000110,0.502972
1.018172,-0.499943,0.005733,2.478099,-0.259165,-0.000117,0.503150
1.023593,-0.499939,0.005932,2.478098,-0.261931,-0.000125,0.503337
1.029013,-0.499934,0.006137,2.478098,-0.264712,-0.000133,0.503535
1.034433,-0.499930,0.006347,2.478097,-0.267508,-0.000142,0.503742
1.039854,-0.499925,0.006563,2.478096,-0.270318,-0.000151,0.503960
1.045274,-0.499920,0.006785,2.478095,-0.273143,-0.000160,0.504190
1.050694,-0.499914,0.007013,2.478094,-0.275983,-0.000170,0.504431
1.056114,-0.499909,0.007248,2.478093,-0.278837,-0.000181,0.504685
