x,bps
0.010000,0.000025
0.011807,0.000013
0.013614,0.000007
0.017227,0.000003
0.020841,0.000001
0.026261,0.000001
0.031681,0.000000
0.037101,0.000000
0.042522,0.000000
0.047942,0.000000
0.053362,0.000000
0.058783,-0.000000
0.064203,-0.000000
0.069623,-0.000000
0.075043,-0.000000
0.080464,-0.000000
0.085884,-0.000000
0.091304,-0.000000
0.096725,-0.000000
0.102145,-0.000000
0.107565,-0.000000
0.112985,-0.000000
0.118406,-0.000000
0.123826,-0.000000
0.129246,-0.000001
0.134666,-0.000001
0.140087,-0.000001
0.145507,-0.000001
0.150927,-0.000001
0.156348,-0.000001
0.161768,-0.000001
0.167188,-0.000002
0.172608,-0.000002
0.178029,-0.000002
0.183449,-0.000002
0.188869,-0.000002
0.194290,-0.000003
0.199710,-0.000003
0.205130,-0.000003
0.210550,-0.000004
0.215971,-0.000004
0.221391,-0.000005
0.226811,-0.000005
0.232232,-0.000006
0.237652,-0.000006
0.243072,-0.000007
0.248492,-0.000007
0.253913,-0.000008
0.259333,-0.000009
0.264753,-0.000010
0.270174,-0.000010
0.275594,-0.000011
0.281014,-0.000012
0.286434,-0.000013
0.291855,-0.000014
0.297275,-0.000015
0.302695,-0.000016
0.308116,-0.000017
0.313536,-0.000019
0.318956,-0.000020
0.324376,-0.000021
0.329797,-0.000023
0.335217,-0.000024
0.340637,-0.000026
0.346057,-0.000028
0.351478,-0.000030
0.356898,-0.000031
0.362318,-0.000033
0.367739,-0.000035
0.373159,-0.000037
0.378579,-0.000040
0.383999,-0.000042
0.389420,-0.000044
0.394840,-0.000047
0.400260,-0.000050
0.405681,-0.000052
0.411101,-0.000055
0.416521,-0.000058
0.421941,-0.000061
0.427362,-0.000064
0.432782,-0.000068
0.438202,-0.000071
0.443623,-0.000075
0.449043,-0.000078
0.454463,-0.000082
0.459883,-0.000086
0.465304,-0.000090
0.470724,-0.000094
0.476144,-0.000099
0.481565,-0.000103
0.486985,-0.000108
0.492405,-0.000113
0.497825,-0.000118
0.503246,-0.000123
0.508666,-0.000128
0.514086,-0.000134
0.519507,-0.000140
0.524927,-0.000146
0.530347,-0.000152
0.535767,-0.000158
0.541188,-0.000164
0.546608,-0.000171
0.552028,-0.000178
0.557448,-0.000185
0.562869,-0.000192
0.568289,-0.000199
0.573709,-0.000207
0.579130,-0.000215
0.584550,-0.000223
0.589970,-0.000231
0.595390,-0.000240
0.600811,-0.000249
